run_timestamp,read_time,hand,esp_time_ms,palm_ax_prox,palm_ay_prox,palm_az_prox,palm_yaw_prox,palm_pitch_prox,palm_roll_prox,palm_flex_mcp,palm_flex_pip,palm_yaw_mid,palm_pitch_mid,palm_roll_mid,palm_ax_mid,palm_ay_mid,palm_az_mid,thumb_ax_prox,thumb_ay_prox,thumb_az_prox,thumb_yaw_prox,thumb_pitch_prox,thumb_roll_prox,thumb_flex_mcp,thumb_flex_pip,thumb_yaw_mid,thumb_pitch_mid,thumb_roll_mid,thumb_ax_mid,thumb_ay_mid,thumb_az_mid,index_ax_prox,index_ay_prox,index_az_prox,index_yaw_prox,index_pitch_prox,index_roll_prox,index_flex_mcp,index_flex_pip,index_x_mid,index_ay_mid,index_az_mid,ring_ax_prox,ring_ay_prox,ring_az_prox,ring_yaw_prox,ring_pitch_prox,ring_roll_prox,ring_flex_mcp,ring_flex_pip,ring_yaw_mid,ring_pitch_mid,ring_roll_mid,ring_ax_mid,ring_ay_mid,ring_az_mid,pinky_ax_prox,pinky_ay_prox,pinky_az_prox,pinky_yaw_prox,pinky_pitch_prox,pinky_roll_prox,pinky_flex_mcp,pinky_flex_pip,pinky_yaw_mid,pinky_pitch_mid,pinky_roll_mid,pinky_ax_mid,pinky_ay_mid,pinky_az_mid,index_yaw_mid,middle_ax_prox,middle_ay_prox,middle_az_prox,middle_yaw_prox,middle_pitch_prox,middle_roll_prox,middle_flex_mcp,middle_flex_pip,middle_yaw_mid,middle_pitch_mid,middle_roll_mid,middle_ax_mid,middle_ay_mid,middle_az_mid,thumb_roll_x,thumb_ay_mprox,index_pitch_mid,index_roll_mid,index_ax_mid,middle_fp,thumb_ax_m_prox,thumb_rolp,middle_a_mcp,index_id,thumb_roll_midid,thumb_rollrox,index_ayox,thumb_roll_midpitch_prox
2026-04-01 22:15:18,2026-04-01 22:15:25,Left,57937,0,0.0,0.0,0.01,0,0,0,0,0.01,0,0,0.0,0,0.0,0,0.0,0.0,0.01,0,0,2131,2099,0.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,983.0,2151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,2169.0,2275.0,0.01,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.01,0,0,1311,1450,0.01,0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01 22:15:18,2026-04-01 22:15:26,Left,58945,0,0.0,-0.01,0.04,0,0,0,0,0.01,0,0,0.0,0,0.01,0,0.0,0.0,-0.01,0,0,2133,2099,0.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,983.0,2151.0,,,,0.0,0.0,0.0,0.01,0.0,0.0,2169.0,2271.0,0.01,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.01,0,0,1299,1461,0.01,0,0,0.0,0,0.01,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,69.0,2107.0,-0.02,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2026-04-01 22:15:18,2026-04-01 22:15:27,Left,59143,0,0.0,0.0,0.01,0,0,0,0,0.01,0,0,0.0,0,0.01,0,0.0,0.0,0.01,0,0,983,2151,0.01,0,0.0,0.0,0.0,0.01,,,,,,,,,,,,0.0,0.0,0.0,0.01,0.0,0.0,2170.0,2275.0,0.01,0.0,0.0,0.0,0.0,0.01,0,0.0,0.0,0.01,0,0,1311,1450,0.01,0,0,0.0,0,0.01,,0.0,0.0,0.0,0.01,0.0,0.0,67.0,2107.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,,,,,,,,,,,,,
2026-04-01 22:15:18,2026-04-01 22:15:27,Left,59545,0,0.0,-0.01,0.01,0,0,0,0,0.01,0,0,0.0,0,0.0,0,0.0,-0.01,0.01,0,0,981,2151,0.01,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,-0.01,0.01,0.0,0.0,2169.0,2274.0,0.01,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.01,0.01,0,0,1309,1452,0.01,0,0,0.0,0,0.0,,0.0,0.0,-0.01,0.01,0.0,0.0,69.0,2106.0,0.01,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2026-04-01 22:15:18,2026-04-01 22:15:27,Left,59947,0,0.0,0.0,0.01,0,0,0,0,0.01,0,0,0.0,0,0.0,0,0.0,0.0,0.01,0,0,983,2151,0.01,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.01,0.0,0.0,2170.0,2271.0,0.01,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.01,0,0,1303,1454,0.01,0,0,0.0,0,0.0,,0.0,0.0,0.0,0.01,0.0,0.0,64.0,2105.0,0.01,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,
2026-04-01 22:15:18,2026-04-01 22:15:28,Left,60953,0,0.0,-0.01,0.04,0,0,0,0,0.01,0,0,0.0,0,0.0,0,0.0,-0.01,-0.01,0,0,2133,2099,0.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,983.0,2152.0,,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,2169.0,2275.0,0.01,0.0,0.0,0.0,0.0,-0.01,0,0.0,0.0,0.01,0,0,1309,1452,0.01,0,0,0.0,0,0.0,0.02,0.0,0.0,0.0,-0.01,0.0,0.0,70.0,2107.0,-0.02,0.0,0.0,0.0,0.0,-0.01,,,0.0,0.0,0.0,,,,,,,,,
2026-04-01 22:15:18,2026-04-01 22:15:29,Left,61551,0,0.0,0.0,0.01,0,0,0,0,0.01,0,0,-0.01,0,0.0,0,0.0,0.0,0.01,0,0,2133,2101,0.01,0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,68.0,2106.0,,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,2171.0,2275.0,0.01,0.0,0.0,-0.01,0.0,0.0,0,0.0,0.0,0.01,0,0,1305,1453,0.01,0,0,-0.01,0,0.0,0.01,,,,,,,,,,,,,,,,,0.0,0.0,-0.01,,,,,,,,,
2026-04-01 22:15:18,2026-04-01 22:15:31,Left,63567,0,0.0,0.0,0.01,0,0,0,0,0.01,0,0,0.0,0,-0.01,0,0.0,0.0,0.01,0,0,2132,2101,0.01,0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.01,0.0,0.0,978.0,2151.0,,0.0,-0.01,0.0,0.0,0.0,0.01,0.0,0.0,2170.0,2276.0,0.01,0.0,0.0,0.0,0.0,-0.01,0,0.0,0.0,0.01,0,0,1317,1447,0.01,0,0,0.0,0,-0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,,,0.01,0.0,0.0,0.0,0.0,-0.01,,,0.0,0.0,0.0,2107.0,,,,,,,,
2026-04-01 22:15:18,2026-04-01 22:15:31,Left,63771,0,0.01,0.0,0.04,0,0,0,0,0.01,0,0,0.0,0,-0.01,0,0.01,0.0,-0.01,0,0,982,2152,0.02,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.01,0.0,0.0,0.01,0.0,0.0,2167.0,2274.0,0.01,0.0,0.0,0.0,0.0,0.0,0,-0.01,0.0,0.01,0,0,1317,1448,0.01,0,0,0.0,0,-0.01,,0.0,0.0,0.0,-0.01,0.0,0.0,68.0,2107.0,-0.03,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,
2026-04-01 22:15:18,2026-04-01 22:15:32,Left,64179,0,0.0,0.0,0.04,0,0,0,0,0.01,0,0,0.0,0,-0.01,0,0.0,0.0,-0.01,0,0,2133,2275,0.01,0,0.0,0.0,0.0,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.01,0,0,1317,1449,0.01,0,0,-0.01,0,-0.01,,,,,,,,,,,,,,,,,,,,,,,2169.0,,,,,,
2026-04-01 22:15:18,2026-04-01 22:15:32,Left,64377,0,0.0,0.0,0.01,0,0,0,0,0.01,0,0,-0.01,0,-0.01,0,0.0,0.0,0.01,0,0,2132,2099,0.01,0,0.0,-0.01,0.0,-0.01,0.0,0.0,0.0,0.01,0.0,0.0,983.0,2106.0,,0.0,-0.01,0.0,0.0,0.0,0.01,0.0,0.0,2168.0,2275.0,0.01,0.0,0.0,-0.01,0.0,-0.01,0,0.0,0.0,0.01,0,0,1317,1448,0.01,0,0,-0.01,0,-0.01,0.01,,,,,,,,,,,,,,,,,0.0,0.0,-0.01,,,,,,,,,
2026-04-01 22:15:18,2026-04-01 22:15:32,Left,64585,0,0.0,-0.01,0.04,0,0,0,0,0.01,0,0,-0.01,0,-0.01,0,0.0,0.0,0.02,0,0,983,2152,0.02,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,-0.01,0.01,0.0,0.0,2168.0,2275.0,0.01,0.0,0.0,0.0,0.0,0.01,0,0.0,0.0,0.01,0,0,1317,1447,0.01,0,0,0.01,0,0.0,,0.0,0.0,0.0,-0.01,0.0,0.0,69.0,2107.0,-0.03,0.0,0.0,0.0,0.0,-0.01,,,,,,,,,,,,,,
