run_timestamp,read_time,hand,esp_time_ms,finger,ax_prox,ay_prox,az_prox,yaw_prox,pitch_prox,roll_prox,flex_mcp,flex_pip,yaw_mid,pitch_mid,roll_mid,ax_mid,ay_mid,az_mid
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88496,Ring,0.00,0.00,0.00,0.01,-0.00,0.00,2169,2219,0.00,0.00,-0.00,0.01,-0.00,0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88496,Pinky,0.00,-0.00,-0.00,0.01,0.00,0.00,1399,1481,0.01,0.00,-0.00,0.00,-0.00,-0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88550,Palm,0.00,-0.00,0.00,0.04,-0.00,0.00,0,0,0.01,0.00,-0.00,0.00,-0.00,-0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88550,Thumb,-0.00,0.00,-0.00,-0.01,0.00,-0.00,2133,2091,-0.00,0.00,-0.00,0.00,0.00,-0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88550,Index,-0.00,0.00,0.00,0.02,0.00,-0.00,986,2150,0.02,0.00,-0.00,0.01,-0.00,-0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88550,Middle,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,90,2107,-0.03,-0.00,-0.00,0.00,0.00,-0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88550,Ring,0.00,0.00,-0.00,0.01,-0.00,0.00,2171,2220,0.00,0.00,-0.00,-0.00,0.00,-0.01
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88550,Pinky,-0.00,-0.00,0.00,0.01,0.00,0.00,1399,1480,0.01,0.00,-0.00,-0.00,-0.01,-0.01
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88604,Palm,-0.00,0.00,-0.00,0.04,-0.00,0.00,0,0,0.01,0.00,-0.00,-0.00,-0.01,-0.01
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88604,Thumb,0.00,-0.00,-0.00,-0.01,0.00,-0.00,2130,2089,-0.00,0.00,-0.00,0.00,0.00,-0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88604,Index,-0.00,-0.00,0.00,0.02,0.00,-0.00,987,2151,0.02,0.00,-0.00,0.01,-0.01,-0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88604,Middle,0.00,-0.00,0.00,-0.00,-0.00,0.00,91,2107,-0.03,-0.00,-0.00,0.00,0.00,-0.01
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88604,Ring,0.00,0.00,-0.01,0.01,-0.00,0.00,2170,2220,0.00,0.00,-0.00,0.00,0.00,0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88604,Pinky,0.00,0.00,-0.00,0.01,0.00,0.00,1399,1481,0.01,0.00,-0.00,-0.00,-0.00,-0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88658,Palm,0.00,-0.00,-0.01,0.04,-0.00,0.00,0,0,0.01,0.00,-0.00,-0.00,-0.00,-0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88658,Thumb,-0.00,-0.00,-0.01,-0.01,0.00,-0.00,2133,2089,-0.00,0.00,-0.00,0.00,0.00,0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88658,Index,0.00,-0.00,0.01,0.02,0.00,-0.00,985,2151,0.02,0.00,0.00,0.01,0.00,-0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88658,Middle,0.00,-0.00,-0.00,-0.00,-0.00,0.00,90,2107,-0.03,0.00,-0.00,-0.00,0.00,-0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88658,Ring,0.00,-0.00,0.00,0.01,-0.00,0.00,2169,2219,0.00,0.00,-0.00,0.00,-0.00,0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88658,Pinky,0.00,0.00,0.00,0.01,0.00,0.00,1399,1481,0.01,0.00,-0.00,0.00,-0.00,-0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88712,Palm,0.00,-0.00,-0.00,0.04,-0.00,0.00,0,0,0.01,0.00,-0.00,0.00,-0.00,-0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88712,Thumb,0.00,-0.00,-0.01,-0.01,0.00,-0.00,2125,2089,-0.00,0.00,-0.00,-0.01,0.00,-0.01
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88712,Index,0.00,0.00,0.00,0.02,0.00,-0.00,988,2149,0.02,0.00,-0.00,-0.00,-0.00,0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88712,Middle,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,91,2105,-0.03,0.00,-0.00,0.01,0.00,-0.01
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88712,Ring,0.00,0.00,0.00,0.01,-0.00,0.00,2169,2219,0.00,0.00,-0.00,0.00,0.00,0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88712,Pinky,0.00,-0.00,0.00,0.01,0.00,0.00,1399,1481,0.01,0.00,-0.00,0.00,-0.00,0.01
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88766,Palm,0.00,0.01,-0.01,0.04,-0.00,0.00,0,0,0.01,0.00,-0.00,0.00,-0.00,0.01
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88766,Thumb,-0.00,-0.00,0.00,-0.01,0.00,-0.00,2135,2091,-0.00,0.00,-0.00,-0.00,0.00,-0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88766,Index,0.00,-0.00,0.00,0.02,0.00,-0.00,987,2147,0.02,0.00,-0.00,0.00,0.00,-0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88766,Middle,-0.00,0.00,0.00,-0.00,-0.00,0.00,91,2107,-0.03,0.00,-0.00,0.01,0.00,-0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88766,Ring,-0.00,-0.00,-0.00,0.01,-0.00,0.00,2169,2220,0.00,0.00,-0.00,0.00,0.00,-0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88766,Pinky,-0.00,-0.00,0.00,0.01,0.00,0.00,1398,1481,0.01,0.00,-0.00,-0.00,0.00,-0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88816,Palm,0.00,-0.00,-0.00,0.04,-0.00,0.00,0,0,0.01,0.00,-0.00,-0.00,0.00,-0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88816,Thumb,0.00,0.00,-0.00,-0.01,0.00,-0.00,2135,2091,0.01,0.00,-0.00,-0.00,0.00,-0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88816,Index,-0.00,0.00,0.00,0.02,0.00,-0.00,987,2151,0.01,0.00,-0.00,-0.00,0.00,-0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88816,Middle,-0.00,0.00,0.00,0.02,0.00,-0.00,89,2106,0.01,0.00,-0.00,-0.00,0.00,-0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88816,Ring,-0.00,0.00,0.00,0.02,0.00,-0.00,2171,2219,0.00,0.00,-0.00,0.00,0.00,0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88816,Pinky,-0.00,0.00,0.00,0.02,0.00,-0.00,1399,1480,0.00,0.00,-0.00,0.00,0.00,0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88868,Palm,-0.00,0.00,0.00,0.02,0.00,-0.00,0,0,0.00,0.00,-0.00,0.00,0.00,0.00
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88868,Thumb,-0.00,0.00,0.00,0.02,0.00,-0.00,2135,2090,-0.00,0.00,-0.00,-0.00,0.00,-0.01
2026-04-01 19:38:45,2026-04-01 19:38:45,Left,88868,Index,-0.00,0.00,0.00,0.02,0.00,-0.00,987,2149,0.02,0.00,-0.00,0.00,-0.00,-0.00
