pc_timestamp,raw_line
2026-03-09T00:16:17.461,2749
2026-03-09T00:16:17.461,2750
2026-03-09T00:16:17.463,2749
2026-03-09T00:16:17.464,2750
2026-03-09T00:16:17.465,2750
2026-03-09T00:16:17.465,2749
2026-03-09T00:16:17.466,2750
2026-03-09T00:16:17.467,2751
2026-03-09T00:16:17.468,2749
2026-03-09T00:16:17.469,2750
2026-03-09T00:16:17.470,2751
2026-03-09T00:16:17.472,2754
2026-03-09T00:16:17.473,2746
2026-03-09T00:16:17.474,2750
2026-03-09T00:16:17.475,2751
2026-03-09T00:16:17.475,2750
2026-03-09T00:16:17.476,2750
2026-03-09T00:16:17.477,2751
2026-03-09T00:16:17.478,2756
2026-03-09T00:16:17.479,2756
2026-03-09T00:16:17.481,2756
2026-03-09T00:16:17.481,2756
2026-03-09T00:16:17.482,2756
2026-03-09T00:16:17.483,2759
2026-03-09T00:16:17.485,2750
2026-03-09T00:16:17.486,2739
2026-03-09T00:16:17.486,2736
2026-03-09T00:16:17.487,2736
2026-03-09T00:16:17.488,2749
2026-03-09T00:16:17.489,2745
2026-03-09T00:16:17.490,2750
2026-03-09T00:16:17.491,2749
2026-03-09T00:16:17.492,2749
2026-03-09T00:16:17.493,2751
2026-03-09T00:16:17.494,2750
2026-03-09T00:16:17.495,2749
2026-03-09T00:16:17.496,2749
2026-03-09T00:16:17.497,2750
2026-03-09T00:16:17.498,2749
2026-03-09T00:16:17.499,2751
2026-03-09T00:16:17.500,2749
2026-03-09T00:16:17.501,2749
2026-03-09T00:16:17.502,2749
2026-03-09T00:16:17.503,2748
2026-03-09T00:16:17.504,2749
2026-03-09T00:16:17.506,2750
2026-03-09T00:16:17.507,2749
2026-03-09T00:16:17.508,2749
2026-03-09T00:16:17.509,2750
2026-03-09T00:16:17.510,2748
2026-03-09T00:16:17.511,2749
2026-03-09T00:16:17.512,2749
2026-03-09T00:16:17.513,2749
2026-03-09T00:16:17.514,2750
2026-03-09T00:16:17.515,2750
2026-03-09T00:16:17.516,2749
2026-03-09T00:16:17.517,2749
2026-03-09T00:16:17.518,2750
2026-03-09T00:16:17.518,2748
2026-03-09T00:16:17.520,2749
2026-03-09T00:16:17.521,2759
2026-03-09T00:16:17.522,2756
2026-03-09T00:16:17.522,2751
2026-03-09T00:16:17.523,2749
2026-03-09T00:16:17.524,2736
2026-03-09T00:16:17.525,2749
2026-03-09T00:16:17.526,2748
2026-03-09T00:16:17.528,2738
2026-03-09T00:16:17.529,2749
2026-03-09T00:16:17.530,2748
2026-03-09T00:16:17.531,2750
2026-03-09T00:16:17.532,2751
2026-03-09T00:16:17.533,2749
2026-03-09T00:16:17.534,2748
2026-03-09T00:16:17.535,2749
2026-03-09T00:16:17.535,2749
2026-03-09T00:16:17.536,2749
2026-03-09T00:16:17.537,2756
2026-03-09T00:16:17.538,2748
2026-03-09T00:16:17.539,2748
2026-03-09T00:16:17.540,2746
2026-03-09T00:16:17.541,2750
2026-03-09T00:16:17.542,2750
2026-03-09T00:16:17.543,2749
2026-03-09T00:16:17.545,2750
2026-03-09T00:16:17.545,2750
2026-03-09T00:16:17.547,2746
2026-03-09T00:16:17.548,2750
2026-03-09T00:16:17.549,2749
2026-03-09T00:16:17.550,2750
2026-03-09T00:16:17.551,2750
2026-03-09T00:16:17.552,2749
2026-03-09T00:16:17.553,2750
2026-03-09T00:16:17.554,2749
2026-03-09T00:16:17.555,2750
2026-03-09T00:16:17.555,2750
2026-03-09T00:16:17.556,2750
2026-03-09T00:16:17.557,2740
2026-03-09T00:16:17.558,2751
2026-03-09T00:16:17.559,2754
2026-03-09T00:16:17.560,2750
2026-03-09T00:16:17.561,2751
2026-03-09T00:16:17.562,2754
2026-03-09T00:16:17.563,2754
2026-03-09T00:16:17.564,2759
2026-03-09T00:16:17.565,2759
2026-03-09T00:16:17.566,2754
2026-03-09T00:16:17.567,2759
2026-03-09T00:16:17.568,2750
2026-03-09T00:16:17.569,2749
2026-03-09T00:16:17.570,2751
2026-03-09T00:16:17.572,2750
2026-03-09T00:16:17.573,2749
2026-03-09T00:16:17.574,2750
2026-03-09T00:16:17.575,2751
2026-03-09T00:16:17.576,2749
2026-03-09T00:16:17.576,2749
2026-03-09T00:16:17.577,2750
2026-03-09T00:16:17.578,2750
2026-03-09T00:16:17.579,2749
2026-03-09T00:16:17.580,2751
2026-03-09T00:16:17.581,2749
2026-03-09T00:16:17.582,2749
2026-03-09T00:16:17.583,2749
2026-03-09T00:16:17.584,2750
2026-03-09T00:16:17.585,2749
2026-03-09T00:16:17.587,2749
2026-03-09T00:16:17.588,2751
2026-03-09T00:16:17.589,2749
2026-03-09T00:16:17.590,2750
2026-03-09T00:16:17.591,2750
2026-03-09T00:16:17.592,2750
2026-03-09T00:16:17.593,2749
2026-03-09T00:16:17.594,2750
2026-03-09T00:16:17.595,2749
2026-03-09T00:16:17.595,2749
2026-03-09T00:16:17.596,2750
2026-03-09T00:16:17.597,2749
2026-03-09T00:16:17.598,2750
2026-03-09T00:16:17.599,2750
2026-03-09T00:16:17.601,2749
2026-03-09T00:16:17.602,2750
2026-03-09T00:16:17.603,2748
2026-03-09T00:16:17.604,2749
2026-03-09T00:16:17.605,2748
2026-03-09T00:16:17.605,2749
2026-03-09T00:16:17.606,2748
2026-03-09T00:16:17.607,2749
2026-03-09T00:16:17.608,2749
2026-03-09T00:16:17.609,2749
2026-03-09T00:16:17.610,2749
2026-03-09T00:16:17.611,2749
2026-03-09T00:16:17.612,2750
2026-03-09T00:16:17.613,2749
2026-03-09T00:16:17.614,2749
2026-03-09T00:16:17.615,2748
2026-03-09T00:16:17.616,2749
2026-03-09T00:16:17.618,2749
2026-03-09T00:16:17.619,2749
2026-03-09T00:16:17.620,2749
2026-03-09T00:16:17.621,2750
2026-03-09T00:16:17.622,2751
2026-03-09T00:16:17.623,2750
2026-03-09T00:16:17.624,2750
2026-03-09T00:16:17.625,2749
2026-03-09T00:16:17.625,2750
2026-03-09T00:16:17.626,2750
2026-03-09T00:16:17.627,2749
2026-03-09T00:16:17.628,2749
2026-03-09T00:16:17.629,2748
2026-03-09T00:16:17.630,2749
2026-03-09T00:16:17.631,2749
2026-03-09T00:16:17.632,2750
2026-03-09T00:16:17.633,2749
2026-03-09T00:16:17.634,2750
2026-03-09T00:16:17.635,2750
2026-03-09T00:16:17.637,2750
2026-03-09T00:16:17.638,2749
2026-03-09T00:16:17.639,2749
2026-03-09T00:16:17.640,2749
2026-03-09T00:16:17.641,2749
2026-03-09T00:16:17.642,2749
2026-03-09T00:16:17.643,2748
2026-03-09T00:16:17.644,2749
2026-03-09T00:16:17.645,2750
2026-03-09T00:16:17.645,2749
