run_index,hand,glove_time_ms,time,palm_mcp_flex,palm_pip_flex,palm_mid_yaw,palm_mid_pitch,palm_mid_roll,palm_mid_ax,palm_mid_ay,palm_mid_az,palm_prox_yaw,palm_prox_pitch,palm_prox_roll,palm_prox_ax,palm_prox_ay,palm_prox_az,thumb_mcp_flex,thumb_pip_flex,thumb_mid_yaw,thumb_mid_pitch,thumb_mid_roll,thumb_mid_ax,thumb_mid_ay,thumb_mid_az,thumb_prox_yaw,thumb_prox_pitch,thumb_prox_roll,thumb_prox_ax,thumb_prox_ay,thumb_prox_az,index_mcp_flex,index_pip_flex,index_mid_yaw,index_mid_pitch,index_mid_roll,index_mid_ax,index_mid_ay,index_mid_az,index_prox_yaw,index_prox_pitch,index_prox_roll,index_prox_ax,index_prox_ay,index_prox_az,middle_mcp_flex,middle_pip_flex,middle_mid_yaw,middle_mid_pitch,middle_mid_roll,middle_mid_ax,middle_mid_ay,middle_mid_az,middle_prox_yaw,middle_prox_pitch,middle_prox_roll,middle_prox_ax,middle_prox_ay,middle_prox_az,ring_mcp_flex,ring_pip_flex,ring_mid_yaw,ring_mid_pitch,ring_mid_roll,ring_mid_ax,ring_mid_ay,ring_mid_az,ring_prox_yaw,ring_prox_pitch,ring_prox_roll,ring_prox_ax,ring_prox_ay,ring_prox_az,pinky_mcp_flex,pinky_pip_flex,pinky_mid_yaw,pinky_mid_pitch,pinky_mid_roll,pinky_mid_ax,pinky_mid_ay,pinky_mid_az,pinky_prox_yaw,pinky_prox_pitch,pinky_prox_roll,pinky_prox_ax,pinky_prox_ay,pinky_prox_az
7,LeftGlove,323957,0,-1,-1,0,0,0,0,0,0,-0.29,-0.34,0.19,-0.01,-0.01,0.94,2031,2040,0.65,-0.35,0.67,-0.04,-0.03,0.16,-0.72,-0.41,0.67,-0.01,-0.04,0.13,2036,2035,-2.81,-2.35,-3.04,-0.81,0.82,1.48,-2.89,-0.18,0.13,-0.02,-0.02,0.09,2055,2035,1.92,-0.38,0.03,-0.07,0.03,0.4,2.91,-0.31,0.03,0.07,0.02,0.36,3322,3491,-0.49,-0.32,-0.16,-0.05,0.02,0.56,-0.25,-0.32,-0.01,0.02,0.19,0.65,3400,3125,-0.69,-0.2,-0.02,-0.04,0.08,0.48,-1.56,-0.13,0.01,-0.07,0.03,0.45
7,LeftGlove,324534,350,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2045,2069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2037,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3342,3490,0.0,0.0,0.0,0.0,0.0,0.0,-0.31,-0.28,-0.1,0.06,0.16,0.62,3391,3155,-0.74,-0.14,-0.12,0.07,0.1,0.52,-1.62,-0.11,-0.11,-0.05,0.11,0.55
7,LeftGlove,324667,580,-1,-1,0,0,0,0,0,0,-0.37,-0.44,0.12,0.0,0.04,0.85,2027,2055,0.65,-0.44,0.69,0.08,-0.13,0.16,-0.83,-0.56,0.69,0.12,0.13,0.02,2068,2055,-0.93,-0.11,0.03,0.09,0.13,-0.31,-2.92,-0.19,-0.23,-0.02,0.11,-0.24,2043,2032,1.84,-0.39,-0.16,-0.08,0.03,0.08,2.77,-0.31,-0.13,-0.03,0.12,0.04,3335,3493,-0.58,-0.32,-0.25,0.1,-0.14,0.45,-0.36,-0.32,-0.06,0.13,0.35,1.01,3382,3158,-0.78,-0.19,-0.04,-0.26,0.13,0.92,-1.63,-0.15,0.0,0.02,-0.17,0.17
7,LeftGlove,324899,879,-1,-1,0,0,0,0,0,0,-0.33,-0.36,0.18,0.05,-0.1,0.91,2035,2067,0.61,-0.35,0.67,-0.09,0.06,0.18,-0.83,-0.4,0.7,-0.08,-0.1,0.19,2058,2055,-0.99,-0.07,0.31,0.04,0.1,0.12,-2.91,-0.16,0.11,0.08,0.04,-0.09,2042,2021,1.84,-0.37,0.06,-0.05,-0.02,0.46,2.86,-0.29,0.07,-0.05,-0.08,0.55,3333,3475,-0.5,-0.33,-0.1,0.01,-0.04,0.54,-0.25,-0.31,0.07,0.07,0.14,0.61,3411,3147,-0.71,-0.23,0.01,0.04,-0.05,0.45,-1.58,-0.17,0.06,0.04,-0.01,0.31
7,LeftGlove,325197,1231,-1,-1,0,0,0,0,0,0,-0.27,-0.35,0.24,0.01,-0.05,0.97,2036,2065,0.59,-0.31,0.69,-0.06,0.01,0.23,-0.81,-0.37,0.72,-0.03,-0.05,0.2,1693,1639,-1.02,-0.08,0.36,0.13,0.01,0.41,-2.87,-0.18,0.13,-0.33,-0.24,0.66,1607,2031,1.82,-0.41,0.03,0.07,-0.33,1.05,2.83,-0.33,0.02,-0.32,-0.59,0.96,3351,3493,-0.57,-0.36,-0.24,0.22,0.51,0.79,-0.32,-0.38,-0.06,0.16,0.46,0.72,3391,3126,-0.92,-0.19,-0.34,-0.23,0.1,0.49,-1.85,-0.2,-0.41,-0.21,-0.15,0.31
7,LeftGlove,325549,1572,-1,-1,0,0,0,0,0,0,-0.63,-0.49,-0.37,-0.4,0.32,0.5,2029,2055,1.09,-0.97,0.34,0.44,0.03,-0.51,-0.74,-0.99,-0.05,-0.06,0.23,-0.65,2043,2043,-1.04,-0.22,-0.57,-0.03,-0.1,-0.49,0.0,0.0,0.0,0.0,0.0,0.0,2045,2029,1.63,-0.45,-0.57,-0.35,0.22,0.15,2.52,-0.44,-0.25,-0.33,0.17,0.1,3307,3451,-0.89,-0.46,-0.5,0.14,-0.24,0.46,-0.29,-0.51,0.25,-0.08,0.12,0.8,3385,3143,-1.4,-0.33,-0.73,0.14,0.02,0.45,-2.57,-0.41,-0.78,-0.39,-0.49,0.49
7,LeftGlove,325890,1905,-1,-1,0,0,0,0,0,0,-0.85,-0.58,-0.76,-0.27,0.16,0.48,1975,2027,1.5,-1.2,-0.53,-0.04,0.14,-0.85,-0.75,-0.98,-0.91,-0.06,-0.15,-0.7,2031,2031,-1.1,-0.08,-0.81,0.17,-0.04,-0.26,2.9,-0.27,-1.09,-0.16,0.01,0.23,2038,2036,0.0,0.0,0.0,0.0,0.0,0.0,-2.76,-0.57,1.27,-0.19,0.53,-0.05,3324,3487,-0.99,-0.57,-0.18,0.22,-0.21,0.76,0.41,-0.59,1.15,-0.09,-0.35,0.17,3385,3143,-1.63,-0.38,-0.73,0.2,-0.2,0.49,-2.84,-0.44,-0.83,0.05,-0.01,0.53
7,LeftGlove,326223,2239,-1,-1,0,0,0,0,0,0,-0.96,-0.62,-0.75,-0.23,0.05,0.5,1982,2023,1.59,-1.19,-0.81,-0.03,0.04,-0.87,-0.77,-0.93,-1.1,-0.05,-0.08,-0.66,2037,2041,-1.18,-0.07,-0.82,0.03,0.01,-0.13,2.88,-0.26,-1.06,-0.13,-0.01,0.28,2039,2024,1.4,-0.48,-0.02,-0.22,-0.07,0.45,-2.71,-0.64,1.23,-0.05,0.28,0.03,3323,3485,-1.3,-2.66,-2.88,1.71,1.53,-0.76,0.0,0.0,0.0,0.0,0.0,0.0,3379,3147,-1.71,-0.41,-0.71,0.18,-0.19,0.5,-2.89,-0.46,-0.78,0.14,0.07,0.57
7,LeftGlove,326557,2604,-1,-1,0,0,0,0,0,0,-1.04,-0.65,-0.7,-0.18,0.0,0.5,1974,2035,1.66,-1.22,-1.01,-0.06,0.13,-0.89,-0.78,-0.9,-1.24,-0.05,-0.07,-0.71,2031,2028,-1.2,-0.07,-0.76,0.01,0.08,-0.15,2.92,-0.21,-0.96,0.0,-0.1,0.32,2063,2031,1.37,-0.48,0.01,-0.21,-0.08,0.47,-2.66,-0.68,1.22,0.02,0.12,0.11,3356,3531,-1.19,-2.72,-2.87,0.32,-1.6,0.91,0.54,-0.73,1.09,-0.01,-0.18,0.11,3383,3143,-1.7,-0.42,-0.69,0.08,-0.04,0.55,-2.84,-0.44,-0.74,0.12,0.16,0.57
7,LeftGlove,326922,2936,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1978,2025,1.67,-1.27,-1.06,-0.06,0.13,-0.93,-0.81,-0.91,-1.29,-0.03,-0.11,-0.64,1982,2023,-1.2,-0.08,-0.74,0.06,0.07,-0.17,2.95,-0.19,-0.92,-0.03,-0.03,0.29,2037,2041,1.37,-0.47,-0.01,-0.19,-0.03,0.49,-2.68,-0.67,1.18,-0.02,0.14,0.08,3323,3484,-1.24,-2.71,-2.87,1.15,1.97,1.3,0.53,-0.72,1.06,0.01,-0.14,0.1,3388,3149,-1.68,-0.41,-0.72,0.19,-0.03,0.54,-2.83,-0.41,-0.76,0.08,0.13,0.53
