run_index,hand,glove_time_ms,time,palm_mcp_flex,palm_pip_flex,palm_mid_yaw,palm_mid_pitch,palm_mid_roll,palm_mid_ax,palm_mid_ay,palm_mid_az,palm_prox_yaw,palm_prox_pitch,palm_prox_roll,palm_prox_ax,palm_prox_ay,palm_prox_az,thumb_mcp_flex,thumb_pip_flex,thumb_mid_yaw,thumb_mid_pitch,thumb_mid_roll,thumb_mid_ax,thumb_mid_ay,thumb_mid_az,thumb_prox_yaw,thumb_prox_pitch,thumb_prox_roll,thumb_prox_ax,thumb_prox_ay,thumb_prox_az,index_mcp_flex,index_pip_flex,index_mid_yaw,index_mid_pitch,index_mid_roll,index_mid_ax,index_mid_ay,index_mid_az,index_prox_yaw,index_prox_pitch,index_prox_roll,index_prox_ax,index_prox_ay,index_prox_az,middle_mcp_flex,middle_pip_flex,middle_mid_yaw,middle_mid_pitch,middle_mid_roll,middle_mid_ax,middle_mid_ay,middle_mid_az,middle_prox_yaw,middle_prox_pitch,middle_prox_roll,middle_prox_ax,middle_prox_ay,middle_prox_az,ring_mcp_flex,ring_pip_flex,ring_mid_yaw,ring_mid_pitch,ring_mid_roll,ring_mid_ax,ring_mid_ay,ring_mid_az,ring_prox_yaw,ring_prox_pitch,ring_prox_roll,ring_prox_ax,ring_prox_ay,ring_prox_az,pinky_mcp_flex,pinky_pip_flex,pinky_mid_yaw,pinky_mid_pitch,pinky_mid_roll,pinky_mid_ax,pinky_mid_ay,pinky_mid_az,pinky_prox_yaw,pinky_prox_pitch,pinky_prox_roll,pinky_prox_ax,pinky_prox_ay,pinky_prox_az
5,LeftGlove,283098,0,-1,-1,0,0,0,0,0,0,-0.2,-0.37,0.23,0.01,0.0,0.96,2039,2071,0.4,-0.29,0.65,-0.01,-0.04,0.24,-0.62,-0.34,0.7,0.01,-0.01,0.21,2034,2027,2.05,-0.05,0.37,-0.05,-0.01,0.1,-2.83,-0.15,0.14,-0.01,0.0,0.01,2024,2039,-1.87,-0.42,0.07,0.08,0.02,0.44,2.69,-0.33,0.02,0.05,0.01,0.45,3315,3493,-0.38,-0.34,-0.11,0.0,0.02,0.55,-0.21,-0.32,0.0,0.0,0.01,0.53,3387,3157,-0.58,-0.22,-0.01,-0.01,0.01,0.49,3.08,3.1,-2.3,-0.49,0.14,-0.13
5,LeftGlove,283779,358,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2035,2075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2035,2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,2034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3321,3493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3389,3147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,LeftGlove,283823,464,-1,-1,0,0,0,0,0,0,-0.2,-0.36,0.23,0.0,0.0,0.97,2031,2067,0.4,-0.29,0.65,-0.01,-0.03,0.24,-0.62,-0.35,0.69,-0.01,-0.02,0.2,2043,2027,1.98,-0.06,0.37,-0.04,-0.01,0.08,-2.83,-0.15,0.14,0.01,0.0,0.02,2035,2032,-1.91,-0.42,0.07,0.08,0.02,0.44,2.67,-0.33,0.02,0.04,0.02,0.46,3325,3489,-0.38,-0.34,-0.11,0.0,0.01,0.56,-0.21,-0.32,0.01,0.0,0.0,0.53,3387,3149,-0.58,-0.22,-0.01,0.01,0.0,0.49,-1.22,-0.18,0.01,-0.01,-0.01,0.36
5,LeftGlove,283930,634,-1,-1,0,0,0,0,0,0,-0.2,-0.36,0.23,0.0,0.0,0.96,2035,2035,0.4,-0.29,0.64,-0.01,-0.03,0.25,-0.62,-0.35,0.69,-0.01,-0.01,0.2,2035,2029,1.96,-0.06,0.37,-0.04,-0.01,0.08,-2.83,-0.15,0.14,0.01,0.0,0.02,2029,2037,-1.91,-0.42,0.07,0.08,0.03,0.45,2.67,-0.33,0.02,0.06,0.04,0.44,3333,3487,-0.38,-0.34,-0.11,-0.02,0.0,0.56,-0.21,-0.32,0.01,0.02,0.01,0.54,3399,3165,-0.58,-0.22,-0.01,0.0,0.0,0.5,-1.22,-0.18,0.01,-0.02,-0.02,0.37
5,LeftGlove,284100,864,-1,-1,0,0,0,0,0,0,-0.2,-0.37,0.23,0.0,0.0,0.97,2039,2087,0.4,-0.29,0.65,-0.01,-0.03,0.25,-0.62,-0.35,0.7,0.01,0.01,0.2,2035,2031,1.94,-0.06,0.37,-0.04,-0.01,0.08,-2.83,-0.15,0.14,0.0,0.0,0.02,2025,2035,-1.93,-0.42,0.07,0.09,0.01,0.44,2.66,-0.33,0.03,0.04,0.01,0.47,3324,3501,-0.38,-0.34,-0.11,-0.01,0.01,0.56,-0.21,-0.32,0.01,0.04,0.03,0.55,3390,3153,-0.58,-0.22,-0.01,0.05,0.04,0.58,-1.22,-0.17,0.01,-0.04,-0.04,0.47
5,LeftGlove,284330,1145,-1,-1,0,0,0,0,0,0,-0.23,-0.34,0.19,0.06,0.1,0.98,2012,2069,0.43,-0.35,0.62,0.02,-0.05,0.18,-0.62,-0.47,0.66,0.02,0.03,0.14,1673,1625,1.93,-0.15,0.23,0.02,0.07,0.29,-2.79,-0.24,-0.05,-0.2,-0.41,0.55,1587,2031,-1.93,-0.42,0.24,-0.34,-0.1,0.8,2.95,-0.37,0.56,0.27,-0.28,0.1,3320,3493,-0.39,-0.36,0.09,0.03,-0.09,0.23,0.18,-0.43,0.69,-0.14,-0.02,0.82,3383,3145,-0.84,-0.25,-0.21,0.07,0.06,0.54,-1.44,-0.32,-0.27,0.01,-0.1,0.24
5,LeftGlove,284611,1479,-1,-1,0,0,0,0,0,0,-0.57,-0.54,-0.2,-0.1,0.16,0.94,1963,2006,0.64,-0.8,0.56,0.13,0.12,-0.23,-0.82,-0.95,0.42,-0.13,0.07,-0.1,1647,1595,1.9,-0.13,-0.22,-0.12,-0.07,-0.11,-3.04,-0.26,-0.6,0.12,-0.19,0.34,1579,2035,-1.97,-0.45,0.39,-0.16,-0.06,0.63,-2.61,-0.53,1.56,0.19,0.12,-0.07,3323,3485,-0.48,-0.54,0.1,0.16,-0.05,0.74,0.54,-0.55,1.42,-0.16,0.05,0.01,3384,3145,-1.03,-0.26,-0.54,-0.03,0.05,0.43,-1.66,-0.32,-0.66,-0.11,0.04,0.39
5,LeftGlove,284945,1825,-1,-1,0,0,0,0,0,0,-0.69,-0.51,-0.56,-0.36,0.27,0.5,1975,2009,0.99,-1.11,0.12,0.28,0.12,-0.66,-0.78,-1.04,-0.33,-0.01,0.17,-0.71,2024,2022,1.81,-0.04,-0.52,-0.26,0.01,-0.45,3.03,-0.24,-0.89,0.1,0.22,0.12,2015,2035,-2.14,-0.39,0.18,0.35,0.1,0.29,-2.57,-0.58,1.55,0.07,0.25,-0.07,3323,3483,-0.71,-0.51,-0.06,0.2,-0.14,0.69,0.0,0.0,0.0,0.0,0.0,0.0,3387,3133,-1.23,-0.29,-0.62,0.08,-0.17,0.46,-1.92,-0.34,-0.71,-0.05,0.15,0.5
5,LeftGlove,285291,2162,-1,-1,0,0,0,0,0,0,-0.8,-0.52,-0.57,-0.22,0.13,0.68,1978,2023,0.97,-1.1,-0.07,0.03,0.03,-0.66,-0.83,-1.04,-0.51,-0.1,-0.07,-0.44,2023,2024,1.74,-0.06,-0.54,-0.17,0.02,-0.17,3.02,-0.23,-0.86,-0.06,-0.01,0.25,2025,2032,-2.21,-0.4,0.15,0.21,0.14,0.38,-2.54,-0.63,1.5,0.05,0.23,-0.04,3335,3487,-0.76,-0.5,-0.11,0.08,-0.02,0.73,0.66,-0.71,1.31,-0.05,-0.16,-0.09,3406,3141,-1.29,-0.3,-0.65,-0.04,-0.04,0.46,0.0,0.0,0.0,0.0,0.0,0.0
5,LeftGlove,285628,2527,-1,-1,0,0,0,0,0,0,-0.86,-0.54,-0.57,-0.16,0.07,0.59,1982,2003,1.02,-1.13,-0.16,0.04,0.08,-0.69,-0.82,-1.03,-0.63,-0.08,-0.04,-0.56,2026,2009,1.7,-0.08,-0.58,-0.1,0.0,-0.13,3.0,-0.23,-0.87,-0.03,0.03,0.3,2027,2031,-2.25,-0.41,0.1,0.17,0.04,0.47,-2.56,-0.65,1.42,0.0,0.18,-0.01,3336,3484,-0.77,-0.48,-0.16,0.07,-0.04,0.72,0.66,-0.73,1.24,0.01,-0.14,-0.04,3384,3133,-1.3,-0.3,-0.67,0.1,-0.07,0.47,-2.06,-0.31,-0.72,0.03,0.02,0.49
