run_index,hand,glove_time_ms,time,palm_mcp_flex,palm_pip_flex,palm_mid_yaw,palm_mid_pitch,palm_mid_roll,palm_mid_ax,palm_mid_ay,palm_mid_az,palm_prox_yaw,palm_prox_pitch,palm_prox_roll,palm_prox_ax,palm_prox_ay,palm_prox_az,thumb_mcp_flex,thumb_pip_flex,thumb_mid_yaw,thumb_mid_pitch,thumb_mid_roll,thumb_mid_ax,thumb_mid_ay,thumb_mid_az,thumb_prox_yaw,thumb_prox_pitch,thumb_prox_roll,thumb_prox_ax,thumb_prox_ay,thumb_prox_az,index_mcp_flex,index_pip_flex,index_mid_yaw,index_mid_pitch,index_mid_roll,index_mid_ax,index_mid_ay,index_mid_az,index_prox_yaw,index_prox_pitch,index_prox_roll,index_prox_ax,index_prox_ay,index_prox_az,middle_mcp_flex,middle_pip_flex,middle_mid_yaw,middle_mid_pitch,middle_mid_roll,middle_mid_ax,middle_mid_ay,middle_mid_az,middle_prox_yaw,middle_prox_pitch,middle_prox_roll,middle_prox_ax,middle_prox_ay,middle_prox_az,ring_mcp_flex,ring_pip_flex,ring_mid_yaw,ring_mid_pitch,ring_mid_roll,ring_mid_ax,ring_mid_ay,ring_mid_az,ring_prox_yaw,ring_prox_pitch,ring_prox_roll,ring_prox_ax,ring_prox_ay,ring_prox_az,pinky_mcp_flex,pinky_pip_flex,pinky_mid_yaw,pinky_mid_pitch,pinky_mid_roll,pinky_mid_ax,pinky_mid_ay,pinky_mid_az,pinky_prox_yaw,pinky_prox_pitch,pinky_prox_roll,pinky_prox_ax,pinky_prox_ay,pinky_prox_az
9,LeftGlove,1006014,0,-1,-1,0,0,0,0,0,0,0.41,-0.47,0.2,0.16,-0.05,0.96,2013,2073,1.87,-0.27,0.64,-0.03,0.06,0.27,-0.37,-0.4,0.71,0.05,-0.05,0.17,2078,2072,0.0,0.0,0.0,0.0,0.0,0.0,-2.53,-0.23,0.26,-0.02,-0.05,0.02,2077,2022,-1.95,-0.48,0.04,-0.09,0.02,0.44,1.95,-0.44,0.08,0.09,-0.09,0.45,3353,3524,-0.69,-0.38,-0.11,-0.02,0.09,0.52,-0.14,-0.35,0.06,-0.03,0.11,0.49,3347,3156,-1.54,-0.25,0.0,-0.19,0.2,0.53,2.93,-0.21,0.04,-0.07,-0.14,0.34
9,LeftGlove,1006810,501,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2035,2073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100,2085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2085,2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3341,3539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3337,3157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,LeftGlove,1006854,607,-1,-1,0,0,0,0,0,0,0.44,-0.35,0.26,0.08,-0.06,0.94,2042,2079,1.98,-0.21,0.6,0.01,0.05,0.33,-0.34,-0.25,0.67,-0.05,-0.03,0.26,2102,2073,-2.18,-0.04,0.4,-0.09,0.04,0.0,-2.6,-0.15,0.18,0.02,-0.05,0.08,2087,2023,-1.97,-0.43,0.01,-0.07,0.02,0.5,1.91,-0.38,0.03,0.05,-0.02,0.44,3359,3524,-0.67,-0.35,-0.13,0.01,0.06,0.54,-0.18,-0.34,0.0,-0.05,0.07,0.46,3345,3157,-1.52,-0.24,-0.03,-0.11,0.01,0.49,2.92,-0.21,-0.03,0.04,-0.13,0.36
9,LeftGlove,1006961,778,-1,-1,0,0,0,0,0,0,0.44,-0.35,0.26,0.02,-0.03,0.93,2063,2078,1.99,-0.21,0.6,-0.05,0.02,0.32,-0.35,-0.25,0.67,0.04,-0.03,0.26,2101,2074,-2.18,-0.04,0.4,-0.02,0.03,0.1,-2.6,-0.15,0.19,0.02,-0.03,-0.01,2089,2021,-1.98,-0.43,0.01,-0.02,-0.01,0.42,1.91,-0.39,0.04,0.05,-0.06,0.45,3343,3525,-0.67,-0.35,-0.12,-0.02,0.05,0.54,-0.18,-0.33,0.02,-0.03,0.08,0.49,3342,3159,-1.52,-0.24,-0.02,-0.08,0.05,0.48,2.93,-0.21,-0.01,0.0,-0.08,0.32
9,LeftGlove,1007132,1007,-1,-1,0,0,0,0,0,0,0.44,-0.35,0.25,0.03,0.0,0.92,2035,2083,1.98,-0.21,0.59,-0.02,0.04,0.31,-0.35,-0.25,0.66,0.03,-0.02,0.25,2093,2075,-2.18,-0.04,0.4,-0.02,0.01,0.11,-2.6,-0.16,0.19,0.02,-0.04,0.0,2080,2023,-1.98,-0.43,0.02,-0.02,-0.02,0.42,1.91,-0.39,0.06,0.03,-0.04,0.44,3359,3525,-0.67,-0.35,-0.11,0.02,0.05,0.53,-0.18,-0.34,0.03,-0.04,0.05,0.5,3346,3157,-1.53,-0.23,-0.01,-0.06,0.07,0.47,2.93,-0.21,0.0,-0.01,-0.08,0.33
9,LeftGlove,1007361,1291,-1,-1,0,0,0,0,0,0,0.44,-0.35,0.26,0.02,-0.01,0.93,2020,2075,1.98,-0.22,0.58,-0.03,0.02,0.3,-0.35,-0.25,0.65,0.02,-0.04,0.25,2089,2079,-2.18,-0.04,0.4,-0.01,0.01,0.09,-2.6,-0.16,0.19,0.0,-0.01,0.0,2078,2020,-1.98,-0.42,0.03,-0.02,0.0,0.43,1.9,-0.38,0.06,0.03,-0.01,0.45,3341,3517,-0.67,-0.34,-0.1,0.0,0.03,0.53,-0.18,-0.33,0.04,0.0,0.04,0.5,3340,3148,-1.53,-0.23,0.0,-0.04,0.01,0.47,2.92,-0.2,0.01,0.0,-0.05,0.33
9,LeftGlove,1007645,1626,-1,-1,0,0,0,0,0,0,0.43,-0.34,0.25,0.01,-0.02,0.94,2031,2076,1.98,-0.22,0.58,-0.03,0.0,0.3,-0.36,-0.25,0.64,0.01,-0.01,0.23,2069,2085,-2.18,-0.03,0.4,-0.02,0.0,0.09,-2.6,-0.16,0.2,-0.01,-0.01,0.02,2076,2021,-1.98,-0.41,0.04,-0.04,-0.05,0.46,1.9,-0.38,0.09,0.04,-0.01,0.43,3319,3520,-0.67,-0.33,-0.08,0.02,0.04,0.62,-0.16,-0.32,0.08,0.06,-0.01,0.53,3336,3149,-1.56,-0.21,0.02,-0.12,0.06,0.63,2.9,-0.21,0.03,-0.12,-0.19,0.54
9,LeftGlove,1007980,1967,-1,-1,0,0,0,0,0,0,0.37,-0.39,0.16,0.17,0.02,1.1,2024,2073,1.79,-0.36,0.59,0.0,0.08,0.42,-0.63,-0.47,0.58,-0.1,0.01,0.39,1709,1675,-2.17,-0.17,0.23,-0.15,0.03,0.42,-2.56,-0.34,0.03,-0.45,-0.27,0.53,1621,2023,-2.06,-0.46,-0.07,-0.14,-0.03,0.72,1.84,-0.45,0.18,-0.39,0.27,-0.37,3379,3519,-0.88,-0.36,0.07,-0.19,0.11,0.42,0.0,0.0,0.0,0.0,0.0,0.0,3328,3151,-2.04,-0.15,-0.29,-0.27,-0.23,0.46,2.36,-0.19,-0.38,0.12,0.07,0.29
9,LeftGlove,1008321,2304,-1,-1,0,0,0,0,0,0,-0.27,-0.35,-0.49,-0.48,0.31,0.36,1980,2025,2.06,-0.83,-0.34,0.28,-0.33,-0.81,-0.54,-0.66,-0.53,-0.17,0.02,-0.8,1693,1635,-2.52,0.04,-0.62,0.36,0.14,-0.45,2.99,-0.3,-0.89,0.04,0.17,0.19,2039,2031,-2.52,-0.41,0.02,0.48,0.3,0.35,1.09,-0.57,1.39,-0.72,0.14,-0.11,3340,3528,-1.35,-0.46,-0.09,0.38,-0.16,0.58,0.44,-0.6,1.35,0.28,-0.54,-0.11,3335,3145,0.0,0.0,0.0,0.0,0.0,0.0,1.85,-0.3,-0.72,-0.17,0.35,0.44
9,LeftGlove,1008658,2666,-1,-1,0,0,0,0,0,0,-0.6,-0.51,-0.78,-0.39,0.06,0.45,1982,2029,2.21,-0.88,-0.93,0.07,0.02,-0.8,-0.46,-0.59,-1.01,-0.02,-0.04,-0.64,2076,2063,-2.7,0.0,-0.84,0.08,0.06,-0.2,2.88,-0.34,-1.02,-0.1,-0.02,0.31,2068,2022,-2.66,-0.46,-0.15,0.09,0.21,0.49,1.25,-0.65,1.2,-0.44,-0.03,0.06,3327,3515,-1.42,-0.49,-0.26,0.23,0.01,0.63,0.29,-0.67,1.13,0.3,-0.35,0.04,3327,3131,-3.09,-0.28,-0.78,0.37,0.14,0.38,1.75,-0.36,-0.83,-0.23,0.11,0.41
