run_index,hand,request_id,request_ts,glove_time_ms,time,palm_mcp_flex,palm_pip_flex,palm_mid_yaw,palm_mid_pitch,palm_mid_roll,palm_mid_ax,palm_mid_ay,palm_mid_az,palm_prox_yaw,palm_prox_pitch,palm_prox_roll,palm_prox_ax,palm_prox_ay,palm_prox_az,thumb_mcp_flex,thumb_pip_flex,thumb_mid_yaw,thumb_mid_pitch,thumb_mid_roll,thumb_mid_ax,thumb_mid_ay,thumb_mid_az,thumb_prox_yaw,thumb_prox_pitch,thumb_prox_roll,thumb_prox_ax,thumb_prox_ay,thumb_prox_az,index_mcp_flex,index_pip_flex,index_mid_yaw,index_mid_pitch,index_mid_roll,index_mid_ax,index_mid_ay,index_mid_az,index_prox_yaw,index_prox_pitch,index_prox_roll,index_prox_ax,index_prox_ay,index_prox_az,middle_mcp_flex,middle_pip_flex,middle_mid_yaw,middle_mid_pitch,middle_mid_roll,middle_mid_ax,middle_mid_ay,middle_mid_az,middle_prox_yaw,middle_prox_pitch,middle_prox_roll,middle_prox_ax,middle_prox_ay,middle_prox_az,ring_mcp_flex,ring_pip_flex,ring_mid_yaw,ring_mid_pitch,ring_mid_roll,ring_mid_ax,ring_mid_ay,ring_mid_az,ring_prox_yaw,ring_prox_pitch,ring_prox_roll,ring_prox_ax,ring_prox_ay,ring_prox_az,pinky_mcp_flex,pinky_pip_flex,pinky_mid_yaw,pinky_mid_pitch,pinky_mid_roll,pinky_mid_ax,pinky_mid_ay,pinky_mid_az,pinky_prox_yaw,pinky_prox_pitch,pinky_prox_roll,pinky_prox_ax,pinky_prox_ay,pinky_prox_az,wrist_ax,wrist_ay,wrist_az,wrist_heading,wrist_pitch,wrist_roll
1,LeftGlove,11,2026-04-17T09:43:08.401,192803,4093,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2095,1850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1029,2120,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,26,2068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2151,2282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1983,2020,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39,2.96,9.32,356.25,-2.38,-17.88
1,LeftGlove,12,2026-04-17T09:43:08.811,193212,4502,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2095,1849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1031,2119,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,25,2069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2150,2282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1983,2025,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42,2.91,9.31,356.25,-2.38,-17.88
1,LeftGlove,13,2026-04-17T09:43:09.220,193622,4912,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2094,1848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1033,2101,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,28,2068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2148,2281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981,2023,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41,2.93,9.28,356.25,-2.38,-17.88
1,LeftGlove,14,2026-04-17T09:43:09.631,194031,5321,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2099,1851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1030,2121,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,27,2067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2149,2281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1983,2023,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44,2.95,9.32,356.25,-2.38,-17.88
1,LeftGlove,15,2026-04-17T09:43:10.040,194441,5730,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2096,1852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1033,2117,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,31,2068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2151,2282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982,2023,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38,2.9,9.37,356.25,-2.38,-17.88
1,LeftGlove,16,2026-04-17T09:43:10.178,194481,5821,-1,-1,0,0,0,0,0,0,0.02,0.0,0.0,0.01,0.01,0.0,2099,1851,-0.02,0.0,0.0,0.0,0.0,0.0,-0.01,0,0,0.0,0.0,-0.01,1031,2119,0.02,0.0,0,0.0,-0.01,0.01,0.01,-0.01,0,0.0,0.0,0.01,25,2071,-0.01,-0.02,0.0,0.0,0.0,0.0,-0.04,-0.02,0.0,0.0,0.0,0.0,2149,2281,0.02,-0.01,-0.01,0.0,0.0,0.01,0.01,-0.01,0.0,0.0,0.0,0.01,1991,2026,-0.01,-0.01,0,0.0,0.0,0.0,-0.01,-0.02,0.0,0.0,0.0,0.0,-0.41,2.91,9.29,356.25,-2.38,-17.88
1,LeftGlove,17,2026-04-17T09:43:10.477,194851,6200,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2098,1849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1035,2120,0.02,-0.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,28,2069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2149,2282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991,2025,-0.01,-0.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42,2.95,9.3,356.25,-2.38,-17.88
1,LeftGlove,18,2026-04-17T09:43:10.647,194954,6362,-1,-1,0,0,0,0,0,0,0.02,0.0,0.0,0.0,0.0,0.0,2099,1854,-0.02,0.0,0.0,-0.01,0.0,-0.01,-0.01,0,0,0.0,0.0,0.0,1035,2120,0.02,-0.01,0,0.0,0.0,0.0,0.01,-0.01,0,0.0,0.0,-0.01,31,2071,-0.01,-0.02,0.0,0.0,0.0,0.0,-0.04,-0.02,0.0,0.0,0.0,0.0,2151,2281,0.02,-0.01,-0.01,0.0,0.0,0.0,0.01,-0.01,0.0,0.0,0.01,0.0,1992,2025,-0.01,-0.01,0,0.0,0.0,0.01,-0.01,-0.02,0.0,0.0,0.0,0.01,-0.46,2.97,9.3,356.25,-2.38,-17.88
1,LeftGlove,19,2026-04-17T09:43:11.016,195329,6740,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2099,1853,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0,0,0.0,0.0,0.0,1031,2121,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,36,2069,-0.01,-0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2151,2283,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.01,0.0,0.0,0.0,-0.01,1991,2025,0.0,0.0,0,0.0,0.0,0.0,-0.01,-0.02,0.0,0.0,0.0,0.0,-0.42,2.95,9.28,356.25,-2.38,-17.88
1,LeftGlove,20,2026-04-17T09:43:11.200,195516,7028,-1,-1,0,0,0,0,0,0,0.02,0.0,0.0,0.0,0.0,0.0,2099,1855,-0.02,0.0,0.0,0.0,0.0,-0.02,-0.01,0,0,0.0,0.0,0.01,1037,2121,0.02,-0.01,0,0.0,0.0,0.0,0.01,-0.01,0,0.0,0.0,0.01,33,2071,-0.01,-0.02,0.0,0.0,0.0,0.0,-0.04,-0.02,0.0,0.0,0.0,0.0,2150,2283,0.02,-0.01,-0.01,0.0,0.0,0.0,0.01,-0.01,0.0,-0.01,0.0,0.0,1992,2027,-0.01,-0.01,0,-0.01,0.0,0.01,-0.01,-0.02,0.0,0.0,0.0,0.01,-0.45,2.91,9.29,356.25,-2.38,-17.88
