run_index,hand,request_id,request_ts,glove_time_ms,time,palm_mcp_flex,palm_pip_flex,palm_mid_yaw,palm_mid_pitch,palm_mid_roll,palm_mid_ax,palm_mid_ay,palm_mid_az,palm_prox_yaw,palm_prox_pitch,palm_prox_roll,palm_prox_ax,palm_prox_ay,palm_prox_az,thumb_mcp_flex,thumb_pip_flex,thumb_mid_yaw,thumb_mid_pitch,thumb_mid_roll,thumb_mid_ax,thumb_mid_ay,thumb_mid_az,thumb_prox_yaw,thumb_prox_pitch,thumb_prox_roll,thumb_prox_ax,thumb_prox_ay,thumb_prox_az,index_mcp_flex,index_pip_flex,index_mid_yaw,index_mid_pitch,index_mid_roll,index_mid_ax,index_mid_ay,index_mid_az,index_prox_yaw,index_prox_pitch,index_prox_roll,index_prox_ax,index_prox_ay,index_prox_az,middle_mcp_flex,middle_pip_flex,middle_mid_yaw,middle_mid_pitch,middle_mid_roll,middle_mid_ax,middle_mid_ay,middle_mid_az,middle_prox_yaw,middle_prox_pitch,middle_prox_roll,middle_prox_ax,middle_prox_ay,middle_prox_az,ring_mcp_flex,ring_pip_flex,ring_mid_yaw,ring_mid_pitch,ring_mid_roll,ring_mid_ax,ring_mid_ay,ring_mid_az,ring_prox_yaw,ring_prox_pitch,ring_prox_roll,ring_prox_ax,ring_prox_ay,ring_prox_az,pinky_mcp_flex,pinky_pip_flex,pinky_mid_yaw,pinky_mid_pitch,pinky_mid_roll,pinky_mid_ax,pinky_mid_ay,pinky_mid_az,pinky_prox_yaw,pinky_prox_pitch,pinky_prox_roll,pinky_prox_ax,pinky_prox_ay,pinky_prox_az,wrist_ax,wrist_ay,wrist_az,wrist_heading,wrist_pitch,wrist_roll
1,LeftGlove,1,2026-04-17T09:43:04.398,339031,0,-1,-1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2068,2105,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1709,1663,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1607,2029,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,2010,2931,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,2873,2075,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.22,2.32,9.46,0,-1.25,-14.06
1,LeftGlove,2,2026-04-17T09:43:04.913,339441,409,-1,-1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2072,2105,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1711,1671,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1608,2035,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,2015,2980,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,2915,2076,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.21,2.34,9.49,0,-1.25,-14.06
1,LeftGlove,3,2026-04-17T09:43:05.058,339481,503,-1,-1,0,0,0,0,0,0,-0.04,0,0,0.0,0.0,0.0,2071,2105,-0.03,-0.01,0,0.0,0.0,-0.01,-0.03,-0.01,0,0.02,0.0,-0.01,1710,1669,0,0,0,0.0,0.0,0.0,-0.03,0,0,0.0,0.0,0.0,1611,2035,-0.01,0.0,0,0.0,0,0.0,-0.01,0,0,0.0,0.0,-0.01,2013,2986,-0.02,0,0,0.0,0,0.0,-0.02,0,0,0.0,0.0,0.0,2924,2075,-0.05,0,0,0.0,0.0,0.0,-0.01,0,0,0.0,0.0,0.01,-0.21,2.33,9.5,0,-1.25,-14.06
1,LeftGlove,4,2026-04-17T09:43:05.359,339850,880,-1,-1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2069,2105,-0.03,-0.01,0,0.0,0.01,0.0,0.0,0.0,0,0.0,0.0,0.0,1709,1669,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1611,2031,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,2021,3050,0.0,0,0,0.0,0,0.0,-0.02,0,0,0.0,0.0,0.0,2973,2075,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.22,2.33,9.51,0,-1.25,-14.06
1,LeftGlove,5,2026-04-17T09:43:05.533,339957,1040,-1,-1,0,0,0,0,0,0,-0.04,0,0,0.0,0.0,0.0,2056,2105,-0.03,-0.01,0,0.0,0.0,-0.01,-0.03,-0.01,0,0.01,0.01,0.01,1710,1669,0,0,0,0.0,0.0,0.0,-0.03,0,0,0.0,0.0,0.0,1612,2035,-0.01,0.0,0,0.0,0,0.0,-0.01,0,0,0.0,0.0,0.0,2020,3045,-0.02,0,0,0.0,0,0.0,-0.02,0,0,0.0,0.0,0.0,2964,2077,-0.05,0,0,0.0,-0.01,0.0,-0.01,0,0,0.0,0.0,0.01,-0.2,2.33,9.48,0,-1.25,-14.06
1,LeftGlove,6,2026-04-17T09:43:06.248,340874,1840,-1,-1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2070,2105,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1705,1671,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1609,2036,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,2014,2981,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,2914,2074,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.24,2.33,9.49,0,-1.25,-14.06
1,LeftGlove,7,2026-04-17T09:43:06.763,341284,2250,-1,-1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2073,2103,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1711,1671,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1607,2035,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,2021,3047,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,2965,2077,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.23,2.35,9.51,0,-1.25,-14.06
1,LeftGlove,8,2026-04-17T09:43:07.172,341693,2660,-1,-1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2072,2106,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1709,1670,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1609,2035,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,2019,3045,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,2979,2078,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.2,2.34,9.51,0,-1.25,-14.06
1,LeftGlove,9,2026-04-17T09:43:07.582,342103,3069,-1,-1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2071,2107,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1709,1657,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1605,2035,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,2021,3053,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,2985,2075,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.2,2.34,9.52,0,-1.25,-14.06
1,LeftGlove,10,2026-04-17T09:43:07.992,342512,3479,-1,-1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2069,2105,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1715,1663,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1609,2036,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,2021,3029,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,2963,2079,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.26,2.33,9.48,0,-1.25,-14.06
