Timestamp,Data
2025-10-22 11:27:05.910,Sensor 2 (0x1D) - X: -0.160 Y: -0.154 Z: 0.999 | Orientation: Flat
2025-10-22 11:27:06.447,Sensor 1 (0x1C) - X: -0.165 Y: 0.327 Z: 0.924 | Orientation: Flat
2025-10-22 11:27:06.499,Sensor 2 (0x1D) - X: -0.903 Y: 0.189 Z: 0.498 | Orientation: Landscape Left
2025-10-22 11:27:07.035,Sensor 1 (0x1C) - X: -0.166 Y: 0.269 Z: 0.986 | Orientation: Flat
2025-10-22 11:27:07.088,Sensor 2 (0x1D) - X: -0.989 Y: 0.236 Z: -0.033 | Orientation: Landscape Left
2025-10-22 11:27:07.625,Sensor 1 (0x1C) - X: -0.112 Y: 0.306 Z: 0.968 | Orientation: Flat
2025-10-22 11:27:07.677,Sensor 2 (0x1D) - X: -0.968 Y: 0.176 Z: -0.037 | Orientation: Landscape Left
2025-10-22 11:27:08.214,Sensor 1 (0x1C) - X: -0.539 Y: 0.239 Z: 0.938 | Orientation: Flat
2025-10-22 11:27:08.267,Sensor 2 (0x1D) - X: -0.970 Y: 0.330 Z: -0.249 | Orientation: Landscape Left
2025-10-22 11:27:08.805,Sensor 1 (0x1C) - X: -0.983 Y: 0.231 Z: 0.299 | Orientation: Landscape Left
2025-10-22 11:27:08.857,Sensor 2 (0x1D) - X: -0.062 Y: 0.384 Z: -0.967 | Orientation: Flat
2025-10-22 11:27:09.394,Sensor 1 (0x1C) - X: -0.998 Y: 0.118 Z: 0.010 | Orientation: Landscape Left
2025-10-22 11:27:09.445,Sensor 2 (0x1D) - X: 0.283 Y: 0.370 Z: -0.894 | Orientation: Flat
2025-10-22 11:27:09.983,Sensor 1 (0x1C) - X: -0.981 Y: 0.104 Z: -0.036 | Orientation: Landscape Left
2025-10-22 11:27:10.035,Sensor 2 (0x1D) - X: 0.286 Y: 0.341 Z: -0.874 | Orientation: Flat
2025-10-22 11:27:10.572,Sensor 1 (0x1C) - X: -0.999 Y: 0.105 Z: -0.026 | Orientation: Landscape Left
2025-10-22 11:27:10.624,Sensor 2 (0x1D) - X: 0.298 Y: 0.322 Z: -0.883 | Orientation: Flat
2025-10-22 11:27:11.161,Sensor 1 (0x1C) - X: -0.991 Y: 0.106 Z: -0.053 | Orientation: Landscape Left
2025-10-22 11:27:11.214,Sensor 2 (0x1D) - X: 0.286 Y: 0.328 Z: -0.895 | Orientation: Flat
