run_index,hand,glove_time_ms,time,palm_mcp_flex,palm_pip_flex,palm_mid_yaw,palm_mid_pitch,palm_mid_roll,palm_mid_ax,palm_mid_ay,palm_mid_az,palm_prox_yaw,palm_prox_pitch,palm_prox_roll,palm_prox_ax,palm_prox_ay,palm_prox_az,thumb_mcp_flex,thumb_pip_flex,thumb_mid_yaw,thumb_mid_pitch,thumb_mid_roll,thumb_mid_ax,thumb_mid_ay,thumb_mid_az,thumb_prox_yaw,thumb_prox_pitch,thumb_prox_roll,thumb_prox_ax,thumb_prox_ay,thumb_prox_az,index_mcp_flex,index_pip_flex,index_mid_yaw,index_mid_pitch,index_mid_roll,index_mid_ax,index_mid_ay,index_mid_az,index_prox_yaw,index_prox_pitch,index_prox_roll,index_prox_ax,index_prox_ay,index_prox_az,middle_mcp_flex,middle_pip_flex,middle_mid_yaw,middle_mid_pitch,middle_mid_roll,middle_mid_ax,middle_mid_ay,middle_mid_az,middle_prox_yaw,middle_prox_pitch,middle_prox_roll,middle_prox_ax,middle_prox_ay,middle_prox_az,ring_mcp_flex,ring_pip_flex,ring_mid_yaw,ring_mid_pitch,ring_mid_roll,ring_mid_ax,ring_mid_ay,ring_mid_az,ring_prox_yaw,ring_prox_pitch,ring_prox_roll,ring_prox_ax,ring_prox_ay,ring_prox_az,pinky_mcp_flex,pinky_pip_flex,pinky_mid_yaw,pinky_mid_pitch,pinky_mid_roll,pinky_mid_ax,pinky_mid_ay,pinky_mid_az,pinky_prox_yaw,pinky_prox_pitch,pinky_prox_roll,pinky_prox_ax,pinky_prox_ay,pinky_prox_az
5,LeftGlove,846064,0,-1,-1,0,0,0,0,0,0,0.19,-0.35,0.2,0.0,0.0,0.92,2015,2075,1.72,-0.31,0.66,-0.01,0.0,0.25,-0.57,-0.38,0.74,0.01,-0.01,0.19,2059,2045,0.0,0.0,0.0,0.0,0.0,0.0,-2.64,-0.23,0.33,0.01,0.0,-0.02,2057,2029,-1.88,-0.41,0.07,0.0,-0.01,0.42,1.52,-0.39,0.21,0.01,0.0,0.38,3375,3564,-0.6,-0.31,-0.08,-0.01,0.01,0.51,-0.17,-0.32,0.13,0.0,0.01,0.42,3429,3187,-1.48,-0.19,0.02,-0.01,0.02,0.41,3.12,-0.18,0.09,-0.01,-0.01,0.29
5,LeftGlove,846660,332,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2008,2089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2043,2055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2044,2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3384,3557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3351,3188,-1.48,-0.19,0.02,-0.01,0.03,0.46,0.0,0.0,0.0,0.0,0.0,0.0
5,LeftGlove,846735,482,-1,-1,0,0,0,0,0,0,0.19,-0.35,0.2,-0.01,0.0,0.96,2023,2067,1.73,-0.31,0.66,-0.08,0.01,0.24,-0.56,-0.38,0.74,-0.01,-0.01,0.2,2045,2054,-2.42,-0.08,0.43,-0.01,-0.01,0.12,-2.64,-0.23,0.33,0.03,0.01,-0.02,2053,2035,-1.87,-0.42,0.07,-0.01,0.02,0.42,1.52,-0.39,0.21,0.02,-0.01,0.38,3373,3561,-0.61,-0.32,-0.08,-0.02,0.0,0.51,-0.17,-0.33,0.14,0.0,0.02,0.43,3407,3195,-1.49,-0.2,0.02,0.0,0.01,0.45,3.12,-0.19,0.08,-0.04,-0.02,0.31
5,LeftGlove,846886,697,-1,-1,0,0,0,0,0,0,0.19,-0.37,0.2,0.02,0.01,0.94,2015,2071,1.72,-0.32,0.67,0.0,0.01,0.23,-0.54,-0.38,0.74,0.01,0.0,0.21,2063,2065,-2.41,-0.1,0.43,0.02,0.0,0.1,-2.63,-0.25,0.33,-0.02,-0.01,-0.01,2059,2029,-1.87,-0.43,0.07,-0.04,0.05,0.42,1.53,-0.41,0.21,0.01,-0.06,0.38,3375,3559,-0.61,-0.34,-0.08,0.04,0.04,0.53,-0.15,-0.35,0.14,0.04,0.03,0.44,3431,3147,-1.49,-0.23,0.0,0.01,0.0,0.46,3.11,-0.23,0.06,0.11,0.04,0.33
5,LeftGlove,847101,971,-1,-1,0,0,0,0,0,0,0.19,-0.38,0.19,0.09,0.0,0.94,2018,2077,1.72,-0.33,0.68,-0.03,-0.04,0.24,-0.51,-0.39,0.74,0.02,0.04,0.21,2056,2045,-2.41,-0.12,0.43,0.01,-0.02,0.12,-2.61,-0.27,0.33,-0.03,-0.01,-0.01,2059,2029,-1.87,-0.45,0.08,-0.03,0.03,0.42,1.54,-0.43,0.21,0.01,-0.01,0.43,3374,3565,-0.61,-0.36,-0.07,-0.01,0.0,0.55,-0.13,-0.37,0.15,0.04,0.04,0.47,3432,3171,-1.49,-0.24,0.0,-0.01,0.1,0.5,3.11,-0.23,0.04,-0.11,-0.03,0.29
5,LeftGlove,847375,1297,-1,-1,0,0,0,0,0,0,0.19,-0.41,0.19,0.09,-0.03,1.08,2014,2075,1.7,-0.32,0.7,0.09,-0.05,0.15,-0.57,-0.42,0.78,-0.35,0.39,0.0,2024,2011,-2.39,-0.19,0.44,-0.04,-0.01,0.29,-2.53,-0.37,0.32,-0.07,-0.1,0.28,2025,2025,-1.83,-0.54,0.05,-0.23,0.15,0.72,1.59,-0.53,0.18,0.26,-0.32,0.74,3381,3581,-0.63,-0.46,-0.14,0.17,0.32,0.77,-0.02,-0.47,0.13,0.03,-0.05,0.16,3428,3176,-1.57,-0.29,-0.16,-0.1,0.4,0.43,2.97,-0.33,-0.12,-0.5,-0.55,0.31
5,LeftGlove,847701,1636,-1,-1,0,0,0,0,0,0,-0.01,-0.45,-0.14,0.26,0.53,0.93,1979,2023,1.68,-0.69,0.55,0.02,-0.3,0.12,-0.63,-0.8,0.41,-0.05,0.18,-0.06,1651,1607,-2.34,-0.03,-0.13,-0.08,-0.23,-0.07,-2.88,-0.19,-0.5,-0.01,-0.11,-0.1,1576,2027,-2.04,-0.38,0.36,0.18,-0.21,0.11,0.48,-2.59,1.59,-0.41,0.38,-0.44,3374,3562,-1.0,-0.51,0.12,0.23,-0.38,0.42,0.6,-0.63,1.49,-0.21,-0.68,-0.02,3427,3175,-2.52,-0.27,-0.52,0.63,-0.05,0.39,0.0,0.0,0.0,0.0,0.0,0.0
5,LeftGlove,848040,2007,-1,-1,0,0,0,0,0,0,-0.63,-0.56,-0.66,-0.66,-0.07,0.48,1962,2031,1.89,-1.11,-0.43,0.14,0.1,-0.96,-0.71,-0.96,-0.77,-0.1,-0.09,-0.7,2039,2031,-2.7,-0.07,-0.67,0.17,0.09,-0.2,2.97,-0.36,-0.9,-0.08,-0.01,0.32,2042,2034,-2.2,-0.51,0.07,0.11,0.14,0.48,1.01,-0.72,1.38,-0.24,-0.11,0.07,3400,3561,-1.11,-0.58,-0.07,0.31,0.07,0.68,0.65,-0.75,1.3,0.08,-0.13,-0.02,3423,3166,-2.65,-0.35,-0.61,0.13,0.09,0.55,2.18,-0.42,-0.68,-0.17,0.09,0.57
5,LeftGlove,848411,2344,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1975,2038,1.85,-1.13,-0.35,0.15,-0.01,-0.71,-0.75,-0.99,-0.76,-0.07,-0.03,-0.6,2039,2029,-2.69,-0.07,-0.64,0.01,-0.03,-0.11,3.02,-0.32,-0.86,-0.11,-0.02,0.3,2025,2019,-2.2,-0.5,0.05,0.08,0.09,0.47,1.1,-0.73,1.33,-0.2,-0.06,0.11,3386,3602,-1.1,-0.55,-0.11,0.18,0.0,0.74,0.65,-0.76,1.23,0.07,-0.2,0.0,3430,3173,-2.67,-0.37,-0.65,0.17,0.09,0.55,2.19,-0.41,-0.7,-0.12,0.03,0.58
5,LeftGlove,848748,2680,-1,-1,0,0,0,0,0,0,-0.71,-0.62,-0.55,-0.11,0.09,0.63,1979,2045,1.81,-1.17,-0.31,0.13,0.02,-0.73,0.0,0.0,0.0,0.0,0.0,0.0,2032,2037,-2.7,-0.08,-0.64,0.04,0.01,-0.13,3.03,-0.29,-0.83,-0.06,-0.01,0.31,2041,2027,-2.2,-0.49,0.03,0.05,0.06,0.49,1.18,-0.73,1.27,-0.13,-0.04,0.11,3350,3561,-1.08,-0.52,-0.14,0.15,0.0,0.73,0.64,-0.76,1.18,0.04,-0.12,0.02,3423,3187,-2.68,-0.37,-0.69,0.09,0.04,0.56,2.22,-0.4,-0.74,-0.06,0.03,0.55
