run_index,request_id,request_ts,right_hand,right_glove_time_ms,right_time,right_palm_mcp_flex,right_palm_pip_flex,right_palm_mid_yaw,right_palm_mid_pitch,right_palm_mid_roll,right_palm_mid_ax,right_palm_mid_ay,right_palm_mid_az,right_palm_prox_yaw,right_palm_prox_pitch,right_palm_prox_roll,right_palm_prox_ax,right_palm_prox_ay,right_palm_prox_az,right_thumb_mcp_flex,right_thumb_pip_flex,right_thumb_mid_yaw,right_thumb_mid_pitch,right_thumb_mid_roll,right_thumb_mid_ax,right_thumb_mid_ay,right_thumb_mid_az,right_thumb_prox_yaw,right_thumb_prox_pitch,right_thumb_prox_roll,right_thumb_prox_ax,right_thumb_prox_ay,right_thumb_prox_az,right_index_mcp_flex,right_index_pip_flex,right_index_mid_yaw,right_index_mid_pitch,right_index_mid_roll,right_index_mid_ax,right_index_mid_ay,right_index_mid_az,right_index_prox_yaw,right_index_prox_pitch,right_index_prox_roll,right_index_prox_ax,right_index_prox_ay,right_index_prox_az,right_middle_mcp_flex,right_middle_pip_flex,right_middle_mid_yaw,right_middle_mid_pitch,right_middle_mid_roll,right_middle_mid_ax,right_middle_mid_ay,right_middle_mid_az,right_middle_prox_yaw,right_middle_prox_pitch,right_middle_prox_roll,right_middle_prox_ax,right_middle_prox_ay,right_middle_prox_az,right_ring_mcp_flex,right_ring_pip_flex,right_ring_mid_yaw,right_ring_mid_pitch,right_ring_mid_roll,right_ring_mid_ax,right_ring_mid_ay,right_ring_mid_az,right_ring_prox_yaw,right_ring_prox_pitch,right_ring_prox_roll,right_ring_prox_ax,right_ring_prox_ay,right_ring_prox_az,right_pinky_mcp_flex,right_pinky_pip_flex,right_pinky_mid_yaw,right_pinky_mid_pitch,right_pinky_mid_roll,right_pinky_mid_ax,right_pinky_mid_ay,right_pinky_mid_az,right_pinky_prox_yaw,right_pinky_prox_pitch,right_pinky_prox_roll,right_pinky_prox_ax,right_pinky_prox_ay,right_pinky_prox_az,right_wrist_ax,right_wrist_ay,right_wrist_az,right_wrist_heading,right_wrist_pitch,right_wrist_roll,left_hand,left_glove_time_ms,left_time,left_palm_mcp_flex,left_palm_pip_flex,left_palm_mid_yaw,left_palm_mid_pitch,left_palm_mid_roll,left_palm_mid_ax,left_palm_mid_ay,left_palm_mid_az,left_palm_prox_yaw,left_palm_prox_pitch,left_palm_prox_roll,left_palm_prox_ax,left_palm_prox_ay,left_palm_prox_az,left_thumb_mcp_flex,left_thumb_pip_flex,left_thumb_mid_yaw,left_thumb_mid_pitch,left_thumb_mid_roll,left_thumb_mid_ax,left_thumb_mid_ay,left_thumb_mid_az,left_thumb_prox_yaw,left_thumb_prox_pitch,left_thumb_prox_roll,left_thumb_prox_ax,left_thumb_prox_ay,left_thumb_prox_az,left_index_mcp_flex,left_index_pip_flex,left_index_mid_yaw,left_index_mid_pitch,left_index_mid_roll,left_index_mid_ax,left_index_mid_ay,left_index_mid_az,left_index_prox_yaw,left_index_prox_pitch,left_index_prox_roll,left_index_prox_ax,left_index_prox_ay,left_index_prox_az,left_middle_mcp_flex,left_middle_pip_flex,left_middle_mid_yaw,left_middle_mid_pitch,left_middle_mid_roll,left_middle_mid_ax,left_middle_mid_ay,left_middle_mid_az,left_middle_prox_yaw,left_middle_prox_pitch,left_middle_prox_roll,left_middle_prox_ax,left_middle_prox_ay,left_middle_prox_az,left_ring_mcp_flex,left_ring_pip_flex,left_ring_mid_yaw,left_ring_mid_pitch,left_ring_mid_roll,left_ring_mid_ax,left_ring_mid_ay,left_ring_mid_az,left_ring_prox_yaw,left_ring_prox_pitch,left_ring_prox_roll,left_ring_prox_ax,left_ring_prox_ay,left_ring_prox_az,left_pinky_mcp_flex,left_pinky_pip_flex,left_pinky_mid_yaw,left_pinky_mid_pitch,left_pinky_mid_roll,left_pinky_mid_ax,left_pinky_mid_ay,left_pinky_mid_az,left_pinky_prox_yaw,left_pinky_prox_pitch,left_pinky_prox_roll,left_pinky_prox_ax,left_pinky_prox_ay,left_pinky_prox_az,left_wrist_ax,left_wrist_ay,left_wrist_az,left_wrist_heading,left_wrist_pitch,left_wrist_roll
14,1,2026-04-17T10:30:42.021,LeftGlove,3047220,0,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,2095,1851,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1039,2129,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,28,2083,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2155,2295,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,2004,2035,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.48,3.12,9.22,175.5,-2.44,-18.5,LeftGlove,3197349,0,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2075,2107,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1717,1672,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1613,2039,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,3217,3311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3220,2112,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.12,2.93,-0.01,-0.06,-0.06,-0.06
14,2,2026-04-17T10:30:42.964,LeftGlove,3047754,531,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,2101,1851,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042,2131,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,29,2083,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2156,2296,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,2003,2037,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.47,3.14,9.2,175.5,-2.44,-18.5,LeftGlove,3197883,536,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2074,2108,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1715,1673,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1613,2039,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,3219,3316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3221,2117,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.13,2.9,-0.01,-0.06,-0.06,-0.06
14,3,2026-04-17T10:30:43.017,LeftGlove,3047799,638,-1,-1,0,0,0,0,0,0,3.02,-0.03,-0.05,0,0,0.02,2095,1851,0.55,0,0.01,0,0,0.08,1.25,-0.03,-0.04,0.0,0.0,0.17,1045,2135,2.84,-0.12,0.01,0,0,0.1,2.86,-0.08,-0.01,0,0,0.05,36,2079,-3.08,-0.12,0.01,0.0,0,0.03,3.08,-0.09,0.03,0,-0.01,0.02,2155,2297,3.12,-0.12,0.01,0,0,0.01,3.12,-0.06,0.01,0,0,0.03,2003,2032,-3.14,-0.1,0.01,0,0,0.01,3.14,-0.1,0.02,0.0,0,0.02,-0.46,3.11,9.24,175.5,-2.44,-18.5,LeftGlove,3197927,640,-1,-1,0,0,0,0,0,0,2.63,-0.04,-0.08,0.0,0.0,0.03,2075,2110,2.67,-0.16,0.11,0.0,0,0.0,-2.92,0.0,0.0,0.37,0.01,-0.75,1719,1673,2.91,-0.25,-0.05,0,0,0.05,2.71,-0.15,-0.05,0.0,0,0.09,1619,2039,2.75,-0.19,0,0,0,0.03,2.67,-0.15,0.01,0,0,0.07,3214,3316,2.8,-0.04,-0.01,0.01,0.0,0.0,2.71,-0.05,0.02,0,0,0.01,3229,2119,2.8,-0.08,0,0,0,0.0,2.77,-0.09,0.07,-0.01,0,0.04,0.12,2.9,-0.01,139.94,1.13,-0.06
14,4,2026-04-17T10:30:43.610,LeftGlove,3048442,1220,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,2101,1849,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042,2129,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,29,2083,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2155,2295,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,2004,2031,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.5,3.13,9.25,175.5,-2.44,-18.5,LeftGlove,3198571,1222,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2078,2110,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1711,1672,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1611,2038,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,3217,3320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3221,2117,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.14,2.88,-0.01,-0.06,-0.06,-0.06
14,5,2026-04-17T10:30:43.765,LeftGlove,3048749,1610,-1,-1,0,0,0,0,0,0,3.02,-0.03,-0.05,0,0,0.02,2099,1852,0.55,0,0.01,0,0,0.08,0.48,-0.7,1.11,-0.88,-0.36,1.1,1041,2131,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,27,2079,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2153,2295,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,2004,2027,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.49,3.12,9.23,175.5,-2.44,-18.5,LeftGlove,3198879,1616,-1,-1,0,0,0,0,0,0,2.63,-0.04,-0.08,0.0,0.0,0.03,2079,2111,2.67,-0.16,0.11,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1716,1673,2.91,-0.25,-0.05,0,0,0.05,0.0,0.0,0.0,0.0,0,0.0,1609,2037,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,3220,3320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3225,2110,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.12,2.9,-0.01,139.94,1.13,-0.06
14,6,2026-04-17T10:30:44.327,LeftGlove,3049478,2257,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,2102,1850,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1043,2131,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,28,2086,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2157,2294,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,2006,2032,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.49,3.1,9.28,175.5,-2.44,-18.5,LeftGlove,3199607,2258,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2075,2111,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1721,1675,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1613,2039,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,3219,3317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3221,2111,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.13,2.9,-0.01,139.94,1.13,-0.06
14,7,2026-04-17T10:30:44.752,LeftGlove,3049875,2651,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,2094,1849,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1043,2125,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,29,2079,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2156,2291,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,2002,2037,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.49,3.15,9.24,175.5,-2.44,-18.5,LeftGlove,3199800,2628,-1,-1,0,0,0,0,0,0,2.63,-0.04,-0.08,-0.01,0.0,0.03,2075,2110,2.67,-0.16,0.11,0.0,0,0.0,2.7,-0.22,0.07,0.01,0.01,-0.01,1719,1673,2.91,-0.24,-0.05,0,0,0.05,2.71,-0.15,-0.05,0.0,0,0.1,1615,2038,2.75,-0.19,0,0,0,0.03,2.67,-0.15,0.01,0,0,0.07,3215,3317,2.8,-0.04,-0.01,0.01,0.01,-0.01,0.0,0.0,0.0,0,0,0.0,3227,2119,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.14,2.86,-0.01,-0.06,-0.06,-0.06
14,8,2026-04-17T10:30:45.797,LeftGlove,3050801,3577,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,2101,1852,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1043,2131,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,29,2086,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2155,2293,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,2005,2037,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.48,3.11,9.2,175.5,-2.44,-18.5,LeftGlove,3200930,3583,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2077,2111,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1717,1675,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1614,2040,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,3227,3317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3225,2119,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.15,2.91,-0.01,139.94,1.13,-0.06
14,9,2026-04-17T10:30:46.259,LeftGlove,3051213,3992,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,2099,1851,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1045,2124,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,26,2083,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2156,2292,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,2004,2034,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.48,3.11,9.24,175.5,-2.44,-18.5,LeftGlove,3201342,3993,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2073,2111,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1711,1675,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1609,2037,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,3219,3316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3227,2120,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.12,2.88,-0.01,139.94,1.13,-0.06
14,10,2026-04-17T10:30:46.826,LeftGlove,3051741,4520,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,2099,1853,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1041,2133,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,29,2084,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2155,2295,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,2004,2035,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.49,3.11,9.21,175.5,-2.44,-18.5,LeftGlove,3201870,4522,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2076,2109,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1711,1673,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1613,2039,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,3213,3316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3227,2119,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.14,2.91,-0.01,139.94,1.13,-0.06
