run_timestamp,request_id,request_ts,left_received,right_received,left_glove_time_ms,left_read_time,left_palm_flex_mcp,left_palm_flex_pip,left_palm_yaw_mid,left_palm_pitch_mid,left_palm_roll_mid,left_palm_ax_mid,left_palm_ay_mid,left_palm_az_mid,left_palm_yaw_prox,left_palm_pitch_prox,left_palm_roll_prox,left_palm_ax_prox,left_palm_ay_prox,left_palm_az_prox,left_thumb_flex_mcp,left_thumb_flex_pip,left_thumb_yaw_mid,left_thumb_pitch_mid,left_thumb_roll_mid,left_thumb_ax_mid,left_thumb_ay_mid,left_thumb_az_mid,left_thumb_yaw_prox,left_thumb_pitch_prox,left_thumb_roll_prox,left_thumb_ax_prox,left_thumb_ay_prox,left_thumb_az_prox,left_index_flex_mcp,left_index_flex_pip,left_index_yaw_mid,left_index_pitch_mid,left_index_roll_mid,left_index_ax_mid,left_index_ay_mid,left_index_az_mid,left_index_yaw_prox,left_index_pitch_prox,left_index_roll_prox,left_index_ax_prox,left_index_ay_prox,left_index_az_prox,left_middle_flex_mcp,left_middle_flex_pip,left_middle_yaw_mid,left_middle_pitch_mid,left_middle_roll_mid,left_middle_ax_mid,left_middle_ay_mid,left_middle_az_mid,left_middle_yaw_prox,left_middle_pitch_prox,left_middle_roll_prox,left_middle_ax_prox,left_middle_ay_prox,left_middle_az_prox,left_ring_flex_mcp,left_ring_flex_pip,left_ring_yaw_mid,left_ring_pitch_mid,left_ring_roll_mid,left_ring_ax_mid,left_ring_ay_mid,left_ring_az_mid,left_ring_yaw_prox,left_ring_pitch_prox,left_ring_roll_prox,left_ring_ax_prox,left_ring_ay_prox,left_ring_az_prox,left_pinky_flex_mcp,left_pinky_flex_pip,left_pinky_yaw_mid,left_pinky_pitch_mid,left_pinky_roll_mid,left_pinky_ax_mid,left_pinky_ay_mid,left_pinky_az_mid,left_pinky_yaw_prox,left_pinky_pitch_prox,left_pinky_roll_prox,left_pinky_ax_prox,left_pinky_ay_prox,left_pinky_az_prox,right_glove_time_ms,right_read_time,right_palm_flex_mcp,right_palm_flex_pip,right_palm_yaw_mid,right_palm_pitch_mid,right_palm_roll_mid,right_palm_ax_mid,right_palm_ay_mid,right_palm_az_mid,right_palm_yaw_prox,right_palm_pitch_prox,right_palm_roll_prox,right_palm_ax_prox,right_palm_ay_prox,right_palm_az_prox,right_thumb_flex_mcp,right_thumb_flex_pip,right_thumb_yaw_mid,right_thumb_pitch_mid,right_thumb_roll_mid,right_thumb_ax_mid,right_thumb_ay_mid,right_thumb_az_mid,right_thumb_yaw_prox,right_thumb_pitch_prox,right_thumb_roll_prox,right_thumb_ax_prox,right_thumb_ay_prox,right_thumb_az_prox,right_index_flex_mcp,right_index_flex_pip,right_index_yaw_mid,right_index_pitch_mid,right_index_roll_mid,right_index_ax_mid,right_index_ay_mid,right_index_az_mid,right_index_yaw_prox,right_index_pitch_prox,right_index_roll_prox,right_index_ax_prox,right_index_ay_prox,right_index_az_prox,right_middle_flex_mcp,right_middle_flex_pip,right_middle_yaw_mid,right_middle_pitch_mid,right_middle_roll_mid,right_middle_ax_mid,right_middle_ay_mid,right_middle_az_mid,right_middle_yaw_prox,right_middle_pitch_prox,right_middle_roll_prox,right_middle_ax_prox,right_middle_ay_prox,right_middle_az_prox,right_ring_flex_mcp,right_ring_flex_pip,right_ring_yaw_mid,right_ring_pitch_mid,right_ring_roll_mid,right_ring_ax_mid,right_ring_ay_mid,right_ring_az_mid,right_ring_yaw_prox,right_ring_pitch_prox,right_ring_roll_prox,right_ring_ax_prox,right_ring_ay_prox,right_ring_az_prox,right_pinky_flex_mcp,right_pinky_flex_pip,right_pinky_yaw_mid,right_pinky_pitch_mid,right_pinky_roll_mid,right_pinky_ax_mid,right_pinky_ay_mid,right_pinky_az_mid,right_pinky_yaw_prox,right_pinky_pitch_prox,right_pinky_roll_prox,right_pinky_ax_prox,right_pinky_ay_prox,right_pinky_az_prox
2026-04-14 23:09:20,1,2026-04-14T13:09:49.389Z,True,True,42421.0,2026-04-14 23:09:49.508,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,1685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2069.0,2147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2199.0,1727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1775.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,601575.0,2026-04-14 23:09:49.508,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,668.0,723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.0,608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651.0,637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,601.0,669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 23:09:20,2,2026-04-14T13:09:49.490Z,True,True,42465.0,2026-04-14 23:09:49.823,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1721.0,1688.0,-0.01,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.01,0.0,0.0,2072.0,2148.0,0.03,0.0,0.0,0.0,0.0,0.0,-0.01,0.01,0.0,0.0,0.0,0.0,2203.0,1735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1773.0,247.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,339.0,430.0,-0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,-0.01,601622.0,2026-04-14 23:09:49.823,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,635.0,669.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,601.0,612.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,569.0,559.0,-0.01,0.0,0.01,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,0.01,717.0,869.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,909.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,-0.01,0.0
2026-04-14 23:09:20,3,2026-04-14T13:09:49.590Z,True,True,42828.0,2026-04-14 23:09:50.083,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1726.0,1688.0,-0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2070.0,2147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203.0,1733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1775.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0,436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,-0.01,0.0,0.0,601976.0,2026-04-14 23:09:50.084,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,518.0,548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,485.0,-0.01,0.0,0.01,0.01,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.0,603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,807.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 23:09:20,4,2026-04-14T13:09:49.691Z,True,True,42914.0,2026-04-14 23:09:50.157,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1721.0,1686.0,-0.01,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,-0.02,0.0,0.0,2069.0,2148.0,0.03,0.0,0.0,0.0,0.0,0.0,-0.01,0.01,0.0,0.0,0.01,0.0,2203.0,1733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1775.0,249.0,0.0,0.0,-0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0,443.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,-0.01,0.0,0.01,602096.0,2026-04-14 23:09:50.163,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,621.0,659.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,663.0,0.02,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.0,-0.01,0.0,0.0,551.0,537.0,-0.01,0.0,0.01,-0.01,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,664.0,824.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,-0.01,0.01,0.0,870.0,283.0,0.0,0.0,0.0,-0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01
2026-04-14 23:09:20,5,2026-04-14T13:09:49.791Z,True,True,42991.0,2026-04-14 23:09:50.202,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1724.0,1687.0,-0.01,0.0,0.0,0.0,0.01,0.0,-0.01,0.0,0.0,-0.02,0.0,0.0,2073.0,2149.0,0.03,0.0,0.0,0.0,0.01,-0.01,-0.01,0.01,0.0,0.0,0.0,-0.01,2203.0,1735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1775.0,248.0,0.0,0.0,-0.01,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,341.0,427.0,-0.01,0.0,0.0,-0.01,0.0,0.0,0.0,0.01,0.0,-0.01,0.0,0.0,602238.0,2026-04-14 23:09:50.347,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,630.0,633.0,-0.01,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,648.0,671.0,0.02,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,-0.01,0.01,-0.01,521.0,508.0,-0.01,0.0,0.01,0.0,-0.01,0.0,-0.02,0.0,0.0,0.01,0.01,0.0,709.0,873.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,863.0,297.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,-0.01,0.0
2026-04-14 23:09:20,6,2026-04-14T13:09:49.891Z,True,True,43065.0,2026-04-14 23:09:50.210,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1722.0,1687.0,-0.01,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.01,0.01,0.0,2075.0,2133.0,0.03,0.0,0.0,0.0,0.0,0.01,-0.01,0.01,0.0,-0.01,0.0,0.01,2203.0,1727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1773.0,249.0,0.0,0.0,-0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,339.0,437.0,-0.01,0.0,0.0,0.0,0.0,-0.01,0.0,0.01,0.0,0.0,0.01,-0.01,602413.0,2026-04-14 23:09:50.518,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,-0.01,671.0,661.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725.0,743.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,-0.01,0.0,0.0,541.0,523.0,-0.01,0.0,0.01,0.0,-0.01,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,703.0,866.0,0.01,0.0,0.0,0.0,0.0,-0.01,0.01,0.0,0.0,0.0,0.0,0.0,855.0,307.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 23:09:20,7,2026-04-14T13:09:49.992Z,True,True,43141.0,2026-04-14 23:09:50.348,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1721.0,1687.0,-0.01,0.0,0.0,0.0,0.01,0.0,-0.01,0.0,0.0,-0.01,0.0,0.0,2072.0,2148.0,0.03,0.0,0.0,0.0,0.0,0.0,-0.01,0.01,0.0,-0.01,0.0,0.0,2201.0,1734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1773.0,249.0,0.0,0.0,-0.01,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,335.0,437.0,-0.01,0.0,0.0,0.0,-0.01,-0.01,0.0,0.01,0.0,-0.01,0.0,0.0,602617.0,2026-04-14 23:09:50.754,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,659.0,648.0,-0.01,0.0,0.0,0.0,0.01,-0.01,0.0,0.0,0.0,-0.01,0.0,0.0,763.0,789.0,0.02,0.0,0.0,0.0,-0.01,-0.01,0.01,0.0,0.0,0.0,0.01,0.0,534.0,506.0,-0.01,0.0,0.01,0.0,0.01,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,684.0,842.0,0.01,0.0,0.0,0.0,0.0,-0.01,0.01,0.0,0.0,0.0,-0.01,0.0,853.0,311.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 23:09:20,8,2026-04-14T13:09:50.092Z,True,True,43214.0,2026-04-14 23:09:50.353,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1734.0,1683.0,-0.01,0.0,0.0,0.0,-0.01,0.0,-0.01,0.0,0.0,0.02,0.01,0.0,2072.0,2151.0,0.03,0.0,0.0,0.0,0.0,0.0,-0.01,0.01,0.0,0.0,0.0,-0.01,2202.0,1733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1774.0,248.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,341.0,439.0,-0.01,0.0,0.0,0.0,0.0,-0.01,0.0,0.01,0.0,0.0,0.0,0.0,602852.0,2026-04-14 23:09:51.102,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,659.0,645.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,751.0,777.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,506.0,493.0,-0.01,0.0,0.01,0.0,-0.01,0.0,-0.03,0.0,0.0,0.01,0.01,0.0,741.0,907.0,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.0,875.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0
2026-04-14 23:09:20,9,2026-04-14T13:09:50.192Z,True,True,43288.0,2026-04-14 23:09:50.490,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1722.0,1684.0,-0.01,0.0,0.0,0.0,0.0,0.01,-0.01,0.0,0.0,0.02,0.01,-0.01,2072.0,2151.0,0.03,0.0,0.0,0.0,0.01,0.0,-0.01,0.01,0.0,0.0,0.0,-0.01,2211.0,1733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1773.0,247.0,0.0,0.0,-0.01,0.0,0.01,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,335.0,439.0,-0.01,0.0,0.0,0.0,0.0,-0.01,0.0,0.01,0.0,0.0,0.0,0.01,603109.0,2026-04-14 23:09:51.309,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,665.0,651.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,727.0,749.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,529.0,489.0,-0.01,0.0,0.01,0.0,-0.01,0.01,-0.03,0.0,0.0,0.0,0.0,0.0,782.0,956.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,895.0,329.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14 23:09:20,10,2026-04-14T13:09:50.292Z,True,True,43361.0,2026-04-14 23:09:50.689,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1721.0,1684.0,-0.01,0.0,0.0,-0.01,0.0,0.0,-0.01,0.0,0.0,-0.01,0.0,-0.01,2070.0,2149.0,0.03,0.0,0.0,0.0,0.01,-0.01,-0.01,0.01,0.0,0.0,0.0,-0.03,2203.0,1726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1773.0,247.0,0.0,0.0,-0.01,-0.01,0.0,0.0,0.0,0.0,0.0,-0.01,0.01,0.0,343.0,441.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,-0.01,0.0,0.0,603387.0,2026-04-14 23:09:51.585,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,671.0,664.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,776.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,537.0,499.0,-0.01,0.0,0.01,0.0,-0.01,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,820.0,1006.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,915.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
