run_timestamp,request_id,request_ts,left_received,right_received,right_glove_time_ms,right_read_time,right_palm_flex_mcp,right_palm_flex_pip,right_palm_yaw_prox,right_palm_pitch_prox,right_palm_roll_prox,right_palm_ax_prox,right_palm_ay_prox,right_palm_az_prox,right_thumb_flex_mcp,right_thumb_flex_pip,right_thumb_yaw_mid,right_thumb_pitch_mid,right_thumb_roll_mid,right_thumb_ax_mid,right_thumb_ay_mid,right_thumb_az_mid,right_thumb_yaw_prox,right_thumb_pitch_prox,right_thumb_roll_prox,right_thumb_ax_prox,right_thumb_ay_prox,right_thumb_az_prox,right_index_flex_mcp,right_index_flex_pip,right_index_yaw_mid,right_index_pitch_mid,right_index_roll_mid,right_index_ax_mid,right_index_ay_mid,right_index_az_mid,right_index_yaw_prox,right_index_pitch_prox,right_index_roll_prox,right_index_ax_prox,right_index_ay_prox,right_index_az_prox,right_middle_flex_mcp,right_middle_flex_pip,right_ring_flex_mcp,right_ring_flex_pip,right_ring_yaw_mid,right_ring_pitch_mid,right_ring_roll_mid,right_ring_ax_mid,right_ring_ay_mid,right_ring_az_mid,right_ring_yaw_prox,right_ring_pitch_prox,right_ring_roll_prox,right_ring_ax_prox,right_ring_ay_prox,right_ring_az_prox,right_pinky_flex_mcp,right_pinky_flex_pip,right_pinky_yaw_mid,right_pinky_pitch_mid,right_pinky_roll_mid,right_pinky_ax_mid,right_pinky_ay_mid,right_pinky_az_mid,right_pinky_yaw_prox,right_pinky_pitch_prox,right_pinky_roll_prox,right_pinky_ax_prox,right_pinky_ay_prox,right_pinky_az_prox,right_wrist_flex_mcp,right_wrist_flex_pip,left_glove_time_ms,left_read_time,left_palm_flex_mcp,left_palm_flex_pip,left_thumb_flex_mcp,left_thumb_flex_pip,left_index_flex_mcp,left_index_flex_pip,left_middle_flex_mcp,left_middle_flex_pip,left_ring_flex_mcp,left_ring_flex_pip,left_pinky_flex_mcp,left_pinky_flex_pip,left_wrist_flex_mcp,left_wrist_flex_pip
2026-04-13 22:01:26,1,2026-04-13T12:02:14.466Z,True,True,55171.0,2026-04-13 22:02:14.529,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.0,381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.0,381.0,378.0,371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,55251.0,2026-04-13 22:02:14.559,-1.0,-1.0,2133.0,2063.0,1071.0,2162.0,30.0,2117.0,2211.0,2357.0,1307.0,1435.0,-1.0,-1.0
2026-04-13 22:01:26,2,2026-04-13T12:02:14.516Z,True,True,55187.0,2026-04-13 22:02:14.545,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,379.0,377.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,55298.0,2026-04-13 22:02:14.597,-1.0,-1.0,2136.0,2057.0,1071.0,2165.0,29.0,2117.0,2207.0,2355.0,1303.0,1436.0,-1.0,-1.0
2026-04-13 22:01:26,3,2026-04-13T12:02:14.567Z,True,True,55225.0,2026-04-13 22:02:14.582,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,395.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,380.0,373.0,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,55336.0,2026-04-13 22:02:14.622,-1.0,-1.0,2134.0,2045.0,1075.0,2165.0,29.0,2116.0,2207.0,2356.0,1304.0,1437.0,-1.0,-1.0
2026-04-13 22:01:26,4,2026-04-13T12:02:14.617Z,True,True,55276.0,2026-04-13 22:02:14.633,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,391.0,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,375.0,367.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,55361.0,2026-04-13 22:02:14.649,-1.0,-1.0,2135.0,2063.0,1074.0,2171.0,27.0,2118.0,2207.0,2355.0,1307.0,1436.0,-1.0,-1.0
2026-04-13 22:01:26,5,2026-04-13T12:02:14.668Z,True,True,55327.0,2026-04-13 22:02:14.684,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,380.0,375.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,55408.0,2026-04-13 22:02:14.699,-1.0,-1.0,2135.0,2055.0,1075.0,2167.0,31.0,2118.0,2208.0,2356.0,1305.0,1435.0,-1.0,-1.0
2026-04-13 22:01:26,6,2026-04-13T12:02:14.718Z,True,True,55377.0,2026-04-13 22:02:14.736,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,357.0,371.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,55457.0,2026-04-13 22:02:14.747,-1.0,-1.0,2137.0,2059.0,1075.0,2167.0,31.0,2119.0,2211.0,2359.0,1305.0,1435.0,-1.0,-1.0
2026-04-13 22:01:26,7,2026-04-13T12:02:14.768Z,True,True,55429.0,2026-04-13 22:02:14.786,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,374.0,365.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,55510.0,2026-04-13 22:02:14.812,-1.0,-1.0,2135.0,2055.0,1074.0,2165.0,29.0,2115.0,2212.0,2356.0,1307.0,1435.0,-1.0,-1.0
2026-04-13 22:01:26,8,2026-04-13T12:02:14.819Z,True,True,55478.0,2026-04-13 22:02:14.838,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,372.0,366.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,55558.0,2026-04-13 22:02:14.834,-1.0,-1.0,2137.0,2057.0,1071.0,2167.0,31.0,2117.0,2208.0,2357.0,1305.0,1436.0,-1.0,-1.0
2026-04-13 22:01:26,9,2026-04-13T12:02:14.869Z,True,True,55528.0,2026-04-13 22:02:14.889,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,377.0,368.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,55608.0,2026-04-13 22:02:15.504,-1.0,-1.0,2137.0,2059.0,1079.0,2166.0,37.0,2119.0,2211.0,2357.0,1307.0,1435.0,-1.0,-1.0
2026-04-13 22:01:26,10,2026-04-13T12:02:14.919Z,True,True,55584.0,2026-04-13 22:02:14.943,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.0,371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,370.0,366.0,359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,56239.0,2026-04-13 22:02:16.209,-1.0,-1.0,2135.0,2063.0,1079.0,2165.0,31.0,2110.0,2207.0,2355.0,1309.0,1435.0,-1.0,-1.0
