Time,filt_S1_X,filt_S1_Y,filt_S1_Z,filt_S1_p,filt_S1_r,filt_S2_X,filt_S2_Y,filt_S2_Z,filt_S2_p,filt_S2_r,,,,S1_X,S1_Y,S1_Z,S1_p,S1_r,S2_X,S2_Y,S2_Z,S2_p,S2_r
0,0.003211896,-0.007659103,-0.004589151,0.242082079,-0.428805782,0.01209436,-0.000175643,-0.006514217,0.64498572,0.120782321,,,,-0.16,-0.04,1.07,-9.1,-1.89,-0.45,0.08,0.97,-26.44,4.7
0.013,0.005067434,-0.006256317,-0.015908816,0.345084713,-0.424778389,0.01656055,0.000367611,-0.018626371,0.881408165,0.208886871,,,,-0.13,-0.01,1.01,-7.29,-0.67,-0.4,0.1,0.89,-23.85,6.28
0.026,0.00692397,-0.00493868,-0.026878445,0.448746669,-0.422479733,0.020963825,0.000842743,-0.030353054,1.115140813,0.291051728,,,,-0.11,-0.05,0.99,-6.39,-2.72,-0.42,0.19,0.88,-24.58,12.22
0.039,0.008781508,-0.003733592,-0.037189863,0.553377317,-0.420756456,0.025227434,0.001225547,-0.041343437,1.342929822,0.364086901,,,,-0.13,-0.01,0.96,-7.29,-0.82,-0.4,0.03,0.84,-23.48,1.86
0.051,0.010646656,-0.002660835,-0.046586449,0.659567067,-0.418443503,0.029289233,0.00149884,-0.051305435,1.562233639,0.425529475,,,,-0.14,-0.04,1,-8.31,-2.23,-0.43,0.08,0.91,-25.32,5.02
0.064,0.012531457,-0.001728606,-0.054876933,0.768087781,-0.414285282,0.033103587,0.001655143,-0.060021609,1.771268681,0.473883589,,,,-0.17,-0.06,1.02,-9.78,-3.41,-0.44,0.04,0.93,-26.07,2.41
0.079,0.014449516,-0.000930698,-0.061940293,0.879656828,-0.406864284,0.036639997,0.001698167,-0.06735496,1.968874361,0.508739788,,,,-0.16,-0.05,1.05,-8.99,-2.56,-0.44,0.05,0.93,-25.94,3.11
0.093,0.016410527,-0.00024512,-0.067722858,0.994630228,-0.394551789,0.039879361,0.001643656,-0.073245948,2.15425482,0.530814658,,,,-0.15,0.05,1.04,-8.42,2.57,-0.42,0.16,0.93,-24.95,9.64
0.107,0.018414741,0.000365496,-0.072230034,1.11270995,-0.37550599,0.042809208,0.001519702,-0.077703455,2.326679909,0.541930207,,,,-0.16,-0.03,0.95,-9.1,-2,-0.41,0.06,0.86,-24.21,4.03
0.119,0.020448804,0.000951327,-0.075515372,1.232741549,-0.347747478,0.045419213,0.001366051,-0.080792682,2.485225713,0.544917208,,,,-0.15,-0.02,1.08,-8.65,-0.83,-0.46,0.14,0.99,-27.32,8.34
0.132,0.022483955,0.001570627,-0.077669228,1.352654132,-0.309322876,0.047698054,0.001231855,-0.082622538,2.628617287,0.54341715,,,,-0.17,-0.05,1.01,-9.78,-2.66,-0.44,0.06,0.91,-25.82,3.79
0.144,0.024477071,0.002283573,-0.078808514,1.469563919,-0.258526862,0.049632245,0.00117175,-0.083334253,2.755210176,0.541583907,,,,-0.13,-0.09,1,-7.18,-5.13,-0.41,0.05,0.91,-24.46,3.21
0.156,0.02637437,0.003146046,-0.079068122,1.58002735,-0.194117646,0.051207039,0.001240947,-0.083091849,2.863109574,0.543727094,,,,-0.11,-0.03,0.93,-6.05,-2.04,-0.35,0.06,0.79,-20.34,4.08
0.169,0.028117021,0.004204727,-0.078593666,1.680394463,-0.115458348,0.052408713,0.001490441,-0.082073812,2.950381553,0.553963146,,,,-0.12,-0.03,0.93,-6.73,-1.57,-0.38,0.05,0.81,-22.39,3.87
0.181,0.029647492,0.005494174,-0.077534545,1.767191394,-0.022551522,0.053227155,0.001963328,-0.080464562,3.015283478,0.575929801,,,,-0.13,0,1.02,-7.41,-0.11,-0.43,0.11,0.93,-25.32,6.56
0.194,0.030915473,0.007035644,-0.07603653,1.837463969,0.084014996,0.053657829,0.002692577,-0.07844468,3.056452452,0.612582355,,,,-0.12,0,1.02,-7.07,0,-0.42,0.11,0.92,-24.58,6.57
0.207,0.031882566,0.00883681,-0.074233951,1.889038242,0.203156632,0.053702865,0.003699834,-0.076180111,3.073032078,0.666050904,,,,-0.13,-0.01,0.99,-7.18,-0.34,-0.4,0.09,0.9,-23.72,5.85
0.219,0.032525382,0.010891485,-0.072242375,1.920682772,0.333358238,0.053371616,0.004994523,-0.073811815,3.064754923,0.737521688,,,,-0.12,-0.03,0.97,-6.84,-1.5,-0.39,0.09,0.87,-22.99,5.8
0.231,0.032837088,0.013178945,-0.070152952,1.932179357,0.472687241,0.052681162,0.006572688,-0.071447731,3.032009851,0.827118962,,,,-0.14,-0.04,1.02,-8.08,-2.2,-0.43,0.05,0.95,-25.2,2.95
0.244,0.032827687,0.015662983,-0.068029393,1.924322221,0.618757438,0.051657139,0.008415529,-0.069158555,2.975917288,0.933791881,,,,-0.14,-0.02,1.05,-7.97,-1.07,-0.43,0.09,0.94,-25.45,5.45
0.257,0.032523438,0.018291173,-0.0659083,1.898871115,0.768668491,0.050335108,0.01048793,-0.066978251,2.89842511,1.055230336,,,,-0.12,0.01,0.99,-7.07,0.68,-0.4,0.12,0.88,-23.36,7.49
0.269,0.031965758,0.020994723,-0.063803114,1.858480052,0.918947433,0.048762452,0.012737322,-0.064909406,2.802423451,1.187832568,,,,-0.13,0,1,-7.29,-0.22,-0.41,0.09,0.9,-23.97,5.56
0.282,0.031209805,0.023689126,-0.061711407,1.806611211,1.065510453,0.047000402,0.015093094,-0.06293261,2.691854978,1.32673559,,,,-0.13,0,1.01,-7.41,0.22,-0.4,0.11,0.89,-23.6,6.78
0.294,0.030322698,0.026275769,-0.059624429,1.747429289,1.203662251,0.045125466,0.017466794,-0.06101825,2.571775984,1.465916088,,,,-0.13,-0.03,0.99,-7.18,-1.58,-0.4,0.06,0.9,-23.6,3.97
0.307,0.029381231,0.02864484,-0.057537349,1.685662051,1.328160474,0.043229327,0.019753606,-0.059138686,2.448315638,1.598379319,,,,-0.12,-0.05,0.99,-6.73,-2.82,-0.39,0.06,0.88,-23.24,4.18
0.319,0.028468847,0.030680033,-0.055458447,1.626410362,1.433380575,0.041416409,0.021835764,-0.057278907,2.328490292,1.716461012,,,,-0.12,0.01,0.98,-6.96,0.34,-0.4,0.11,0.88,-23.36,6.94
0.331,0.027671683,0.032265313,-0.053415669,1.574895305,1.51360458,0.039798761,0.023588311,-0.055444147,2.219853921,1.812254594,,,,-0.12,0,0.99,-6.96,0.23,-0.42,0.1,0.91,-24.71,6.03
0.344,0.027073593,0.033293402,-0.051459474,1.536141569,1.563422684,0.03848846,0.024887036,-0.053663604,2.129999249,1.878143315,,,,-0.14,0.02,1.04,-8.08,0.86,-0.44,0.12,0.94,-25.94,7.46
0.356,0.02675031,0.033674941,-0.049661588,1.514613146,1.578196885,0.037588377,0.025617726,-0.05199006,2.065958391,1.907382359,,,,-0.13,0.03,1.01,-7.63,1.66,-0.42,0.12,0.89,-24.95,7.83
0.369,0.026763169,0.033346943,-0.048109971,1.513833712,1.554513886,0.037182499,0.02568557,-0.050495806,2.03357443,1.894659622,,,,-0.12,0.01,0.98,-6.84,0.34,-0.4,0.09,0.88,-23.36,5.58
0.381,0.027153046,0.032279281,-0.04690077,1.536033602,1.490559866,0.037327076,0.025023596,-0.049265487,2.036919131,1.836571031,,,,-0.14,-0.02,1.03,-8.08,-1.3,-0.44,0.09,0.94,-25.82,5.45
0.394,0.027935219,0.030478447,-0.04612823,1.581867359,1.386374076,0.038043654,0.023599343,-0.048386686,2.077822924,1.731966922,,,,-0.14,0.01,1.05,-8.31,0.64,-0.44,0.12,0.94,-26.32,6.99
0.408,0.029095911,0.027988403,-0.045873626,1.650242931,1.243964251,0.039314832,0.021419173,-0.047939158,2.155571255,1.582144124,,,,-0.14,0,1.01,-7.86,-0.11,-0.42,0.11,0.9,-24.95,6.71
0.42,0.030591149,0.024888653,-0.046194333,1.738295389,1.067282243,0.041083284,0.018529823,-0.047983732,2.266805961,1.3908663,,,,-0.12,0.01,0.96,-6.73,0.81,-0.39,0.12,0.84,-22.75,7.91
0.432,0.032348373,0.021289849,-0.047113954,1.841522169,0.862064378,0.043254185,0.015016877,-0.048551809,2.405646298,1.164200795,,,,-0.13,-0.04,0.98,-7.18,-2.4,-0.4,0.05,0.9,-23.72,3.24
0.445,0.034270862,0.017327376,-0.04861433,1.954076693,0.635547429,0.045700772,0.011000198,-0.049636384,2.564018837,0.910175626,,,,-0.13,0.01,1.08,-7.63,0.72,-0.43,0.12,1,-25.57,6.88
0.457,0.036244757,0.013153445,-0.050630438,2.069200257,0.396080551,0.048272585,0.006626738,-0.051185917,2.732173014,0.638283585,,,,-0.13,-0.06,1,-7.63,-3.46,-0.41,0.05,0.89,-24.09,3.4
0.471,0.038148138,0.008928303,-0.053049595,2.179760362,0.152659854,0.050805992,0.002061373,-0.053102801,2.899359819,0.358878019,,,,-0.11,0.01,1.08,-6.39,0.52,-0.43,0.08,0.98,-25.7,4.57
0.485,0.039861382,0.004811034,-0.055716409,2.278852122,-0.085588982,0.053136572,-0.002523565,-0.055247999,3.054648084,0.082507492,,,,-0.13,-0.01,1.04,-7.18,-0.54,-0.42,0.11,0.95,-25.08,6.33
0.497,0.041277798,0.000950317,-0.058444137,2.360404973,-0.309959028,0.055112632,-0.006959522,-0.057452368,3.187831336,-0.180771859,,,,-0.1,-0.02,1.01,-5.6,-1,-0.39,0.11,0.89,-22.75,7.23
0.51,0.042313271,-0.002524559,-0.061031688,2.419723887,-0.512716887,0.056608605,-0.011093154,-0.059533549,3.290339546,-0.422072185,,,,-0.09,-0.03,0.94,-5.15,-2.02,-0.35,0.05,0.83,-20.22,3.37
0.523,0.042913657,-0.00551179,-0.063283857,2.453890916,-0.687621632,0.057536499,-0.01479709,-0.061315683,3.356031502,-0.634289673,,,,-0.08,-0.07,0.93,-4.82,-4.22,-0.35,0,0.82,-20.22,0
0.535,0.043058792,-0.00794334,-0.065031333,2.461966044,-0.830341633,0.057853454,-0.017978606,-0.062648293,3.381731688,-0.812581064,,,,-0.11,-0.08,0.95,-6.28,-5.04,-0.38,0,0.88,-22.02,-0.13
0.548,0.042762522,-0.009788263,-0.066146972,2.444958238,-0.938694031,0.057563964,-0.020584538,-0.063420972,3.367410963,-0.954605296,,,,-0.12,-0.05,0.99,-6.96,-2.94,-0.4,0.05,0.9,-23.48,3.11
0.561,0.04206892,-0.011052325,-0.066556024,2.405581218,-1.012655162,0.056716486,-0.02260134,-0.063571973,3.315986901,-1.060466978,,,,-0.12,-0.03,1,-6.84,-1.78,-0.41,0.08,0.91,-24.46,5.29
0.573,0.041045529,-0.011773935,-0.066239625,2.347847457,-1.054143068,0.055395335,-0.024050506,-0.063090448,3.232803976,-1.132376995,,,,-0.12,-0.02,1,-6.84,-0.9,-0.41,0.09,0.88,-24.21,5.55
0.586,0.039774937,-0.012017336,-0.065232319,2.276574542,-1.066629817,0.053709619,-0.024980825,-0.062013302,3.124910243,-1.174124993,,,,-0.12,-0.03,0.98,-6.84,-1.71,-0.4,0.07,0.88,-23.6,4.54
0.599,0.03834595,-0.011864434,-0.063615034,2.196878125,-1.054671843,0.05178115,-0.02545949,-0.060418025,3.000261706,-1.190491842,,,,-0.12,-0.04,1,-7.07,-2.58,-0.42,0.04,0.91,-24.83,2.7
0.612,0.036845468,-0.011406619,-0.061505081,2.113713168,-1.023440755,0.049733,-0.025563744,-0.058412959,2.866967918,-1.186708147,,,,-0.13,-0.04,1.01,-7.41,-2.22,-0.42,0.05,0.93,-24.71,3.26
0.624,0.035351841,-0.010737479,-0.059044601,2.031507492,-0.978308169,0.047679953,-0.025373924,-0.056126354,2.732659156,-1.168015395,,,,-0.12,-0.04,1,-7.07,-2.34,-0.4,0.06,0.89,-23.85,3.87
0.637,0.033930165,-0.009946843,-0.056388593,1.953911558,-0.924507067,0.045721462,-0.024968139,-0.053695383,2.604017202,-1.139342567,,,,-0.12,-0.04,0.98,-6.62,-2.62,-0.4,0.04,0.88,-23.36,2.94
0.649,0.032629621,-0.00911624,-0.053693372,1.883666905,-0.866870796,0.043937209,-0.024418393,-0.051255885,2.486473965,-1.105086477,,,,-0.12,-0.05,0.98,-6.62,-3.21,-0.39,0.03,0.88,-22.87,1.91
0.662,0.031482691,-0.008315676,-0.051105975,1.822576336,-0.809640371,0.042384879,-0.023787878,-0.04893317,2.384053316,-1.068974698,,,,-0.11,-0.04,1.01,-6.39,-2.22,-0.41,0.05,0.91,-24.21,3.42
0.675,0.030505829,-0.007601578,-0.048754914,1.77154738,-0.756329595,0.04109961,-0.023129192,-0.046834078,2.299320236,-1.033990868,,,,-0.13,-0.03,1.03,-7.41,-1.63,-0.42,0.07,0.93,-25.08,4.07
0.688,0.029701123,-0.00701576,-0.046742746,1.73067908,-0.709643072,0.040094635,-0.022483441,-0.045040608,2.233406496,-1.002351623,,,,-0.12,-0.03,1.01,-6.73,-1.66,-0.41,0.07,0.91,-23.97,4.3
0.7,0.029058491,-0.006585337,-0.04514091,1.699367889,-0.671447949,0.03936278,-0.021880336,-0.043605545,2.186091848,-0.975535425,,,,-0.11,-0.04,0.99,-6.28,-2.14,-0.39,0.05,0.88,-22.99,3.54
0.713,0.028558066,-0.006323457,-0.043987079,1.676416145,-0.642798646,0.038878537,-0.021339369,-0.042550376,2.155923984,-0.95436478,,,,-0.12,-0.05,0.98,-6.73,-3.07,-0.4,0.04,0.9,-23.72,2.61
0.726,0.028172495,-0.006230634,-0.043284882,1.660135029,-0.624004748,0.038600447,-0.020871866,-0.04186545,2.140362397,-0.939132089,,,,-0.13,-0.05,1.02,-7.75,-2.75,-0.42,0.04,0.92,-24.83,2.66
0.738,0.027869085,-0.006296399,-0.043005671,1.648444216,-0.61472457,0.03847369,-0.020483447,-0.041512237,2.135939627,-0.929746308,,,,-0.13,-0.03,1.01,-7.41,-1.89,-0.41,0.05,0.91,-24.46,3.45
0.751,0.027611852,-0.006501084,-0.043092062,1.63898029,-0.614069518,0.038432972,-0.020176353,-0.04142751,2.138448375,-0.925875537,,,,-0.12,-0.03,1,-6.84,-1.68,-0.41,0.06,0.89,-24.09,4
0.763,0.027363663,-0.006817757,-0.043463175,1.629229414,-0.620715985,0.038406039,-0.019951342,-0.041529342,2.143174512,-0.92707126,,,,-0.13,-0.02,1.01,-7.52,-1.33,-0.43,0.07,0.92,-25.45,4.48
0.775,0.027088608,-0.007214488,-0.044021506,1.616694345,-0.633031713,0.038318176,-0.019809069,-0.041724775,2.145196467,-0.932872206,,,,-0.13,-0.04,1.02,-7.52,-2.2,-0.43,0.05,0.93,-25.2,3.02
0.787,0.026754654,-0.007657094,-0.044661271,1.599095427,-0.649222903,0.038097894,-0.019751009,-0.041918811,2.139760216,-0.942888122,,,,-0.13,-0.04,1.02,-7.18,-2.08,-0.42,0.05,0.91,-25.08,2.94
0.799,0.026336483,-0.008112233,-0.045277814,1.574593408,-0.667497093,0.037683625,-0.019779895,-0.042024189,2.122717402,-0.956855301,,,,-0.12,-0.04,1,-6.84,-2.36,-0.4,0.04,0.89,-23.72,2.88
0.813,0.025818283,-0.008550472,-0.045777325,1.542010032,-0.686222937,0.037030783,-0.019899483,-0.041970974,2.090984279,-0.974646906,,,,-0.12,-0.05,0.97,-6.62,-2.76,-0.39,0.05,0.88,-22.75,3.06
0.825,0.025196084,-0.008948794,-0.0460857,1.501012877,-0.704059626,0.036118022,-0.020113462,-0.041714645,2.042950839,-0.99622251,,,,-0.12,-0.05,0.98,-6.73,-2.74,-0.39,0.05,0.88,-23.24,3.04
0.838,0.024479186,-0.009292046,-0.046155136,1.452228467,-0.720029784,0.034951402,-0.020423485,-0.041241211,1.978757775,-1.021514009,,,,-0.12,-0.05,0.98,-6.73,-2.84,-0.4,0.05,0.88,-23.48,3.19
0.85,0.02369028,-0.009573041,-0.045967288,1.397255025,-0.733520367,0.033565374,-0.020826558,-0.040568241,1.900373369,-1.050263227,,,,-0.12,-0.04,0.98,-6.73,-2.5,-0.4,0.05,0.88,-23.36,3.05
0.863,0.022864052,-0.009791361,-0.045532367,1.338561537,-0.744214192,0.032020177,-0.021312295,-0.039741471,1.811439343,-1.081843479,,,,-0.12,-0.03,0.99,-6.96,-1.69,-0.41,0.06,0.9,-23.97,4.1
0.876,0.022044301,-0.009951248,-0.04488448,1.279279426,-0.751975064,0.030395943,-0.02186068,-0.038827516,1.716901436,-1.115109345,,,,-0.13,-0.03,1.01,-7.52,-1.43,-0.43,0.07,0.92,-25.32,4.63
0.888,0.021279902,-0.010059215,-0.044074289,1.222912666,-0.756724267,0.028784505,-0.022441035,-0.037904149,1.622484214,-1.148321768,,,,-0.14,-0.03,1.04,-8.08,-1.51,-0.45,0.06,0.96,-26.94,3.62
0.901,0.020620144,-0.010121994,-0.043160628,1.173007204,-0.758347848,0.027280276,-0.023012745,-0.03705009,1.534098535,-1.179184687,,,,-0.14,-0.04,1.03,-8.08,-2.18,-0.43,0.06,0.93,-25.57,3.5
0.912,0.020110112,-0.010145223,-0.042202784,1.132825647,-0.756660424,0.025971549,-0.023527906,-0.036336139,1.457273466,-1.205003943,,,,-0.13,-0.04,0.99,-7.41,-2.26,-0.41,0.04,0.88,-24.21,2.79
0.925,0.019786668,-0.010132921,-0.041254609,1.105065659,-0.751428319,0.024933197,-0.023935617,-0.035818769,1.396679612,-1.222947272,,,,-0.13,-0.06,1,-7.52,-3.24,-0.42,0.02,0.9,-24.83,1.48
0.937,0.019675333,-0.010087525,-0.040360814,1.091643822,-0.742433718,0.024221097,-0.024187204,-0.035536268,1.35577153,-1.230359495,,,,-0.12,-0.04,0.98,-7.07,-2.5,-0.41,0.06,0.88,-23.97,3.7
0.949,0.019788135,-0.010010166,-0.039555029,1.093549374,-0.729551735,0.023868252,-0.024241513,-0.035506754,1.336545166,-1.225079476,,,,-0.12,-0.04,0.98,-6.96,-2.05,-0.41,0.05,0.88,-24.21,3.16
0.961,0.020122289,-0.009900922,-0.038858911,1.11076186,-0.712815921,0.023882374,-0.024069567,-0.035727306,1.339395299,-1.205714509,,,,-0.13,-0.04,1,-7.41,-2.47,-0.42,0.04,0.9,-24.83,2.73
0.973,0.020659654,-0.009759032,-0.038281733,1.142225932,-0.692459297,0.024244897,-0.023658116,-0.036173761,1.363065708,-1.171843238,,,,-0.13,-0.03,1.01,-7.18,-1.88,-0.43,0.05,0.91,-25.2,3.45
0.985,0.02136699,-0.009583166,-0.037820358,1.185882752,-0.668928852,0.024911575,-0.02301179,-0.036801392,1.404700737,-1.124129653,,,,-0.13,-0.03,1.01,-7.75,-1.88,-0.43,0.06,0.92,-25.7,3.63
0.997,0.022197255,-0.009371883,-0.037459888,1.238765235,-0.642876392,0.025815048,-0.022153677,-0.037547109,1.460019259,-1.06433537,,,,-0.13,-0.04,1,-7.29,-2.02,-0.42,0.06,0.89,-24.71,3.65
1.009,0.023092156,-0.009124249,-0.037175481,1.29716856,-0.615127287,0.026869713,-0.021124094,-0.038334043,1.52363194,-0.995217499,,,,-0.14,-0.06,1.01,-8.2,-3.32,-0.45,-0.02,0.97,-26.57,-0.92
1.022,0.02398612,-0.008840412,-0.036935734,1.356904272,-0.586624533,0.027979004,-0.019977389,-0.039079045,1.589507271,-0.920300365,,,,-0.16,-0.07,1.08,-9.33,-3.52,-0.46,0.03,0.97,-27.32,1.5
1.034,0.024811575,-0.008521825,-0.036707714,1.413632936,-0.558345351,0.029044713,-0.018776731,-0.03970301,1.651561263,-0.843523549,,,,-0.11,-0.01,1,-6.39,-0.34,-0.4,0.1,0.86,-23.48,6.84
1.046,0.025505022,-0.008170977,-0.036463103,1.463244969,-0.531197244,0.029977264,-0.017587385,-0.040142652,1.704301374,-0.768805911,,,,-0.09,-0.02,0.94,-4.93,-0.95,-0.36,0.09,0.8,-21.06,6.57
1.058,0.026012834,-0.007790833,-0.036184097,1.502227716,-0.505914979,0.030705061,-0.016469624,-0.040361096,1.743407966,-0.699609196,,,,-0.09,-0.03,0.94,-5.15,-1.79,-0.36,0.06,0.82,-21.3,4.23
1.07,0.026295486,-0.007384341,-0.035867034,1.527938113,-0.482984242,0.031180695,-0.015472655,-0.040353949,1.766114484,-0.638597151,,,,-0.1,-0.05,0.95,-5.72,-2.83,-0.37,0.05,0.83,-21.42,3.24
1.083,0.026329097,-0.006954224,-0.035521938,1.538713809,-0.462603638,0.031382247,-0.014630482,-0.040148384,1.771279416,-0.58744821,,,,-0.11,-0.05,0.98,-6.05,-2.73,-0.39,0.04,0.87,-23.24,2.31
1.095,0.026104014,-0.00650293,-0.035167465,1.533802316,-0.444675889,0.031309351,-0.013959869,-0.039794998,1.759129617,-0.546818388,,,,-0.14,-0.05,1.04,-8.08,-2.57,-0.46,0.04,0.98,-27.07,2.51
1.107,0.025621109,-0.006032413,-0.034822616,1.513146872,-0.428809994,0.030975381,-0.013460079,-0.039354854,1.730761775,-0.51640879,,,,-0.16,-0.04,1.1,-9.22,-2.04,-0.49,0.06,1.03,-29.48,3.25
1.119,0.024887214,-0.005543577,-0.034497963,1.477111778,-0.414325313,0.030398379,-0.013113972,-0.038885783,1.687566591,-0.495088705,,,,-0.14,-0.02,1.05,-8.08,-0.96,-0.44,0.09,0.93,-26.19,5.28
1.131,0.023911213,-0.005035533,-0.034189372,1.426239638,-0.400266446,0.029593501,-0.012890323,-0.038431918,1.630749024,-0.481048617,,,,-0.12,-0.02,0.97,-6.62,-1.04,-0.39,0.06,0.83,-22.75,4.45
1.143,0.022701905,-0.00450508,-0.033876013,1.361105858,-0.385449462,0.028568722,-0.012747357,-0.038018482,1.561055016,-0.471982028,,,,-0.11,-0.03,0.96,-6.39,-1.87,-0.39,0.05,0.84,-23.12,3.71
1.156,0.021267892,-0.00394684,-0.033522651,1.282290015,-0.368556063,0.027324126,-0.012637337,-0.037651456,1.478722695,-0.465301346,,,,-0.13,-0.04,0.99,-7.29,-2.25,-0.41,0.05,0.89,-24.46,3.38
1.168,0.019619165,-0.003354211,-0.033084884,1.190445154,-0.348274745,0.025854015,-0.012511749,-0.037320344,1.383610177,-0.45838079,,,,-0.12,-0.04,0.99,-6.73,-2.37,-0.41,0.05,0.88,-24.09,3.54
1.181,0.017769701,-0.002720968,-0.032515719,1.086429038,-0.323468856,0.024150848,-0.01232636,-0.037002344,1.275436333,-0.448802743,,,,-0.12,-0.04,1,-6.96,-2.25,-0.42,0.05,0.89,-24.71,3.5
1.195,0.015740432,-0.002043145,-0.031772392,0.971461759,-0.293342321,0.022210296,-0.012045462,-0.036667173,1.154088035,-0.434577201,,,,-0.13,-0.03,1.01,-7.52,-1.88,-0.45,0.04,0.94,-26.69,2.74
1.208,0.013562019,-0.001320838,-0.030822983,0.84728153,-0.257577705,0.02003699,-0.011644856,-0.036282603,1.019967366,-0.414309838,,,,-0.16,-0.04,1.07,-9.1,-2.09,-0.46,0.06,0.98,-27.7,3.53
1.222,0.011277032,-0.000559711,-0.029652684,0.716276708,-0.216432834,0.017650578,-0.011113504,-0.035820959,0.8743552,-0.387309078,,,,-0.12,0,0.99,-6.96,-0.23,-0.4,0.11,0.85,-23.72,7.17
1.235,0.008941133,0.000227851,-0.028269395,0.581571671,-0.170792934,0.015091308,-0.010454085,-0.03526624,0.719746353,-0.353638782,,,,-0.12,-0.04,0.96,-6.62,-2.11,-0.38,0.04,0.83,-22.51,2.56
1.248,0.006622822,0.001021976,-0.026707728,0.447036698,-0.12217857,0.012423799,-0.009682819,-0.034620443,0.56007686,-0.314130171,,,,-0.13,-0.04,0.98,-7.18,-2.41,-0.41,0.05,0.87,-23.97,3.1
1.26,0.00440121,0.001795087,-0.025030002,0.317186805,-0.072704411,0.009737409,-0.008828707,-0.033906957,0.400744962,-0.270357718,,,,-0.12,-0.03,0.97,-6.96,-1.96,-0.4,0.06,0.86,-23.72,4.3
1.296,0.002361501,0.002512492,-0.023322856,0.196944036,-0.024977034,0.007141998,-0.007932048,-0.033169169,0.248349949,-0.224568178,,,,-0.12,-0.03,0.97,-6.84,-1.85,-0.4,0.06,0.84,-23.6,4.01
1.308,0.000588268,0.003134077,-0.021688997,0.091265527,0.018078869,0.004758938,-0.007041914,-0.032463643,0.110136529,-0.17954509,,,,-0.14,-0.03,0.98,-7.86,-1.49,-0.42,0.06,0.85,-24.71,3.93
1.32,-0.000842719,0.003617254,-0.020234895,0.004678296,0.053465002,0.002708476,-0.006212362,-0.031848987,-0.006785068,-0.138396382,,,,-0.18,-0.06,1.07,-10.47,-3.25,-0.5,0,1.01,-30.13,0.22
1.332,-0.001872772,0.003921046,-0.01905664,-0.059200946,0.078407063,0.001095809,-0.005497411,-0.031373122,-0.096297072,-0.104264739,,,,-0.17,-0.01,1.06,-9.56,-0.32,-0.48,0.1,0.95,-28.72,6.2
1.344,-0.002466924,0.004010937,-0.018227063,-0.098062178,0.090670448,-1.17E-06,-0.004945176,-0.031062652,-0.154021611,-0.079979999,,,,-0.18,-0.01,1.08,-10.12,-0.31,-0.5,0.08,0.98,-29.74,4.78
1.357,-0.002617401,0.003863772,-0.017787166,-0.111126094,0.088844682,-0.000539736,-0.004592021,-0.030917698,-0.177785623,-0.067700748,,,,-0.17,-0.02,1.05,-9.56,-0.95,-0.48,0.09,0.94,-28.46,5.21
1.369,-0.002343132,0.003471781,-0.017743683,-0.099149922,0.072543426,-0.000514258,-0.004457908,-0.030913734,-0.167712136,-0.068614242,,,,-0.13,-0.01,0.98,-7.63,-0.8,-0.4,0.08,0.82,-23.72,5.6
1.381,-0.001685607,0.002844926,-0.018072624,-0.064229527,0.042481024,4.73E-05,-0.004543945,-0.031009306,-0.125964071,-0.082760618,,,,-0.11,-0.02,0.94,-6.28,-1.32,-0.37,0.06,0.77,-21.66,4.81
1.393,-0.000702396,0.002011094,-0.018726785,-0.009466421,0.000415363,0.001090568,-0.004832521,-0.031156359,-0.056269833,-0.109016083,,,,-0.12,-0.04,0.97,-7.07,-2.54,-0.41,0.04,0.87,-24.21,2.44
1.405,0.000539903,0.001014218,-0.019644291,0.061405668,-0.051022475,0.002542401,-0.005289652,-0.031309339,0.036598159,-0.145225717,,,,-0.13,-0.03,0.99,-7.29,-1.69,-0.42,0.07,0.88,-24.83,4.29
1.419,0.001971703,-8.92E-05,-0.0207557,0.14435145,-0.108570794,0.004317641,-0.005868707,-0.031430484,0.147255339,-0.188439728,,,,-0.13,-0.04,0.98,-7.63,-2.27,-0.42,0.04,0.88,-24.83,2.54
1.431,0.003524662,-0.001234628,-0.021988533,0.23527823,-0.168606404,0.006323411,-0.006514603,-0.031490955,0.269994388,-0.235191792,,,,-0.15,-0.04,1.02,-8.42,-2.52,-0.46,0.04,0.93,-27.07,2.64
1.443,0.005134137,-0.002353993,-0.023269638,0.330196063,-0.227403905,0.008461971,-0.007167788,-0.031469337,0.398964705,-0.281767626,,,,-0.18,-0.04,1.11,-10.58,-1.82,-0.52,0.06,1.04,-31.17,3.21
1.456,0.006740527,-0.003380441,-0.024526807,0.425328346,-0.281366351,0.010633324,-0.007767823,-0.031349885,0.528323512,-0.324439834,,,,-0.14,-0.01,1.03,-7.86,-0.32,-0.43,0.12,0.89,-25.7,7.74
1.468,0.008290281,-0.00425241,-0.025691129,0.517212164,-0.327226598,0.012738784,-0.008256781,-0.031122253,0.652433452,-0.359678091,,,,-0.13,-0.03,0.95,-7.18,-1.89,-0.39,0.05,0.8,-22.87,3.36
1.481,0.009737003,-0.004917478,-0.026700622,0.602805788,-0.362228495,0.014685757,-0.008582902,-0.03078286,0.766124502,-0.38436275,,,,-0.11,-0.03,0.95,-6.28,-1.53,-0.39,0.07,0.81,-22.75,4.93
1.493,0.01104254,-0.005335791,-0.027504359,0.679588736,-0.384292435,0.016392887,-0.008704678,-0.030336344,0.8649686,-0.396019859,,,,-0.12,-0.04,0.97,-6.73,-2.07,-0.4,0.06,0.88,-23.6,3.7
