Time,FilteredSignal

0,-1.46332296382737e-05
0.013,6.60347638632166e-05
0.026,0.000189007752938282
0.039,0.000378480078677505
0.051,0.000655439712699347
0.064,0.00103512653219714
0.079,0.00152455026339025
0.093,0.00212036844594005
0.107,0.00280744707221325
0.119,0.00355838473885776
0.132,0.00433418817887617
0.144,0.00508616103662708
0.156,0.00575892522770806
0.169,0.00629435471659857
0.181,0.00663609038220072
0.194,0.00673424276547761
0.207,0.00654988005014726
0.219,0.00605892881265484
0.231,0.00525517035223581
0.244,0.00415208694771056
0.257,0.00278339355140198
0.269,0.00120217439061845
0.282,-0.000521372695433968
0.294,-0.00230349713011229
0.307,-0.00405158870424256
0.319,-0.00566974633578325
0.331,-0.00706489040400027
0.344,-0.0081530234145981
0.356,-0.00886519860683197
0.369,-0.00915273908341003
0.381,-0.00899127142664731
0.394,-0.00838320088774869
0.408,-0.00735835629846542
0.42,-0.00597266633996123
0.432,-0.00430488727838941
0.445,-0.00245157109465297
0.457,-0.000520621916110914
0.471,0.0013760791925319
0.485,0.00313040620759958
0.497,0.00464545292894966
0.51,0.0058421116299174
0.523,0.00666421159621588
0.535,0.00708178964836001
0.548,0.00709224511991568
0.561,0.00671934492752136
0.573,0.00601025484103089
0.586,0.00503094629780826
0.599,0.00386044576040713
0.612,0.00258445411823299
0.624,0.00128887252966018
0.637,5.37345694725778e-05
0.649,-0.00105202991827381
0.662,-0.00197467500410148
0.675,-0.00267835252963381
0.688,-0.00314636353173526
0.7,-0.0033809580115627
0.713,-0.00340178918144291
0.726,-0.00324320800903897
0.738,-0.00295064360908219
0.751,-0.00257635467153034
0.763,-0.00217486099565605
0.775,-0.00179837493250035
0.787,-0.00149254820922461
0.799,-0.00129282807701568
0.813,-0.00122167824488854
0.825,-0.00128686473197204
0.838,-0.00148093365060327
0.85,-0.00178191867782197
0.863,-0.00215521742600525
0.876,-0.00255647830108163
0.888,-0.00293525348971038
0.901,-0.00323911005707602
0.912,-0.00341785963839033
0.925,-0.00342757323152856
0.937,-0.00323408739440497
0.949,-0.00281576951572223
0.961,-0.00216537873418031
0.973,-0.00129092637762027
0.985,-0.000215503482079366
0.997,0.00102389433361452
1.009,0.00237845062178014
1.022,0.00379036343821034
1.034,0.00519621636494183
1.046,0.00653061885280139
1.058,0.0077298178690463
1.07,0.00873498972550199
1.083,0.00949498203681974
1.095,0.00996838349924784
1.107,0.0101249213317076
1.119,0.00994628284753367
1.131,0.00942650002783063
1.143,0.00857201919609418
1.156,0.00740152306031584
1.168,0.00594551267536581
1.181,0.00424561557306083
1.195,0.0023535681829719
1.208,0.000329821013828142
1.222,-0.00175827131419599
1.235,-0.00383869120716677
1.248,-0.00583741857761212
1.26,-0.0076814600897871
1.296,-0.00930214053682801
1.308,-0.0106384798636286
