Timestamp,S1_X,S1_Y,S1_Z,S1_p,S1_r,S2_X,S2_Y,S2_Z,S2_p,S2_r
2025-11-05 08:47:20.496,-0.07,-0.05,1.0,-4.03,-2.9,-0.13,-0.37,0.93,-7.41,-21.55
2025-11-05 08:47:20.508,-0.09,0.03,1.01,-4.93,1.78,-0.09,-0.06,0.99,-4.93,-3.38
2025-11-05 08:47:20.753,-0.05,0.05,1.01,-3.13,2.66,-0.09,-0.04,0.99,-4.93,-2.03
2025-11-05 08:47:21.323,-0.06,0.05,1.0,-3.36,2.9,-0.09,-0.04,1.0,-4.93,-2.25
2025-11-05 08:47:21.893,-0.04,0.06,1.01,-2.24,3.55,-0.08,-0.03,0.99,-4.71,-1.81
2025-11-05 08:47:22.463,-0.02,0.09,1.01,-1.34,4.87,-0.1,-0.06,0.99,-5.6,-3.39
2025-11-05 08:47:23.033,-0.02,0.08,1.01,-0.9,4.43,-0.09,-0.02,0.99,-4.93,-1.13
2025-11-05 08:47:23.603,-0.02,0.07,1.02,-1.12,3.96,-0.09,-0.02,0.99,-4.93,-1.36
2025-11-05 08:47:24.173,-0.02,0.09,1.0,-0.9,4.89,-0.09,-0.03,0.99,-5.15,-1.58
2025-11-05 08:47:24.743,-0.02,0.08,1.01,-0.9,4.65,-0.08,-0.02,0.99,-4.71,-1.36
2025-11-05 08:47:25.312,-0.02,0.08,1.01,-0.9,4.43,-0.09,-0.03,0.99,-4.93,-1.81
2025-11-05 08:47:25.883,-0.02,0.07,1.0,-1.12,4.23,-0.09,-0.03,0.98,-4.93,-1.59
2025-11-05 08:47:26.452,-0.01,0.08,1.0,-0.67,4.67,-0.09,-0.02,0.99,-5.15,-1.13
2025-11-05 08:47:27.022,-0.02,0.08,1.0,-0.9,4.45,-0.08,-0.03,1.0,-4.71,-1.57
2025-11-05 08:47:27.593,-0.02,0.07,1.01,-0.9,4.21,-0.09,-0.03,0.99,-5.15,-1.58
2025-11-05 08:47:28.162,-0.02,0.08,1.01,-0.9,4.64,-0.09,-0.03,0.99,-4.93,-1.58
2025-11-05 08:47:28.732,-0.02,0.08,1.0,-0.9,4.45,-0.09,-0.02,0.98,-4.93,-1.14
2025-11-05 08:47:29.302,-0.01,0.09,1.01,-0.67,4.87,-0.09,-0.02,0.99,-4.93,-1.35
2025-11-05 08:47:29.872,-0.02,0.09,1.01,-1.12,4.87,-0.08,-0.02,0.99,-4.71,-1.13
2025-11-05 08:47:30.442,-0.02,0.08,1.0,-0.9,4.67,-0.09,-0.02,0.99,-4.93,-1.36
2025-11-05 08:47:31.012,-0.01,0.09,1.01,-0.67,4.87,-0.09,-0.02,0.99,-5.15,-1.13
2025-11-05 08:47:31.581,-0.02,0.09,1.0,-0.9,4.89,-0.09,-0.03,0.99,-5.15,-1.58
2025-11-05 08:47:32.151,-0.02,0.09,1.01,-1.12,4.87,-0.09,-0.02,1.0,-4.93,-1.35
2025-11-05 08:47:32.721,-0.02,0.08,1.01,-1.12,4.65,-0.08,-0.02,1.0,-4.71,-1.12
2025-11-05 08:47:33.291,-0.03,0.08,1.01,-1.57,4.43,-0.09,-0.03,0.99,-4.93,-1.58
2025-11-05 08:47:33.861,-0.02,0.09,1.01,-0.9,4.87,-0.09,-0.02,0.99,-4.93,-1.35
2025-11-05 08:47:34.431,-0.02,0.08,1.01,-0.9,4.64,-0.09,-0.02,0.99,-4.93,-1.35
2025-11-05 08:47:35.001,-0.01,0.08,1.02,-0.67,4.6,-0.09,-0.02,0.99,-4.93,-1.35
2025-11-05 08:47:35.571,-0.02,0.08,1.01,-0.9,4.65,-0.09,-0.02,0.99,-5.15,-1.35
2025-11-05 08:47:36.141,-0.02,0.09,1.0,-1.12,4.89,-0.09,-0.02,0.99,-4.93,-1.13
2025-11-05 08:47:36.711,-0.02,0.09,1.01,-1.12,4.87,-0.09,-0.02,0.99,-4.93,-1.13
2025-11-05 08:47:37.281,-0.02,0.09,1.0,-1.12,4.89,-0.09,-0.02,0.99,-4.93,-1.13
2025-11-05 08:47:37.851,-0.01,0.08,1.01,-0.67,4.65,-0.09,-0.03,0.99,-4.93,-1.58
2025-11-05 08:47:38.420,-0.02,0.09,1.0,-1.34,5.11,-0.09,-0.02,1.0,-4.93,-1.35
2025-11-05 08:47:38.990,-0.02,0.09,1.0,-0.9,4.89,-0.09,-0.02,0.99,-4.93,-1.35
2025-11-05 08:47:39.560,-0.02,0.08,1.01,-1.12,4.65,-0.08,-0.03,0.99,-4.71,-1.58
2025-11-05 08:47:40.130,-0.02,0.08,1.01,-1.12,4.64,-0.09,-0.02,0.99,-4.93,-1.35
2025-11-05 08:47:40.700,-0.01,0.08,1.0,-0.45,4.67,-0.09,-0.02,0.99,-4.93,-1.35
2025-11-05 08:47:41.270,-0.04,0.06,1.0,-2.01,3.58,-0.07,0.01,1.03,-3.81,0.65
2025-11-05 08:47:41.840,-0.05,-0.02,1.0,-2.69,-1.35,-0.1,-0.26,0.95,-5.6,-15.2
2025-11-05 08:47:42.410,-0.02,-0.04,1.0,-1.34,-2.01,-0.07,-0.29,0.95,-4.26,-16.66
2025-11-05 08:47:42.980,-0.05,-0.04,1.01,-3.13,-2.0,-0.1,-0.3,0.95,-5.6,-17.51
