Time,filt_S1_X,filt_S1_Y,filt_S1_Z,filt_S1_p,filt_S1_r,filt_S2_X,filt_S2_Y,filt_S2_Z,filt_S2_p,filt_S2_r
0,-0.15912543153973,-0.0404326831473614,1.06620026772115,-9.03829545542162,-1.94152601956606,-0.4467251628393,0.078706037573313,0.963663479988911,-26.2330452022655,4.63789357169241
0.013,-0.157300456156541,-0.0386992420715266,1.05541349967765,-8.94024702033662,-1.91601519083891,-0.442762928636778,0.0796076278292946,0.952563046426131,-26.0292824438553,4.7452666635577
0.026,-0.15549646379728,-0.0370093781459917,1.04502535083706,-8.8432091910228,-1.88919845101635,-0.438968791585961,0.0804871477051736,0.941967865427577,-25.8347470899773,4.84938174546252
0.039,-0.153690697351816,-0.0354289227978162,1.03525415857138,-8.74517867245392,-1.86268459463131,-0.435330208981351,0.0812676540980606,0.932074955078064,-25.6472069353302,4.94432178723183
0.051,-0.151858243124394,-0.0340081785654645,1.02628795431656,-8.64420920174336,-1.8375083680501,-0.43183781700789,0.0818914968316687,0.923056866862236,-25.4648143775977,5.02552545130218
0.064,-0.149973085680448,-0.0327771173035935,1.01827027629558,-8.53851294673799,-1.81399914837524,-0.428484537019481,0.0823234693212612,0.915046302799254,-25.2861208873785,5.09005550214061
0.079,-0.148012026414057,-0.0317425461562795,1.01129432176496,-8.42669801686622,-1.79170934496839,-0.425266815968137,0.0825516032039063,0.908129241272402,-25.1102018939263,5.13668004113624
0.093,-0.145960240960598,-0.0308873566309486,1.00540438671358,-8.30807154092284,-1.76940717177417,-0.422187232863775,0.0825866069734794,0.902345448908112,-24.9368438641042,5.16583513488048
0.107,-0.143816757760522,-0.0301720911487154,1.00060203481949,-8.1829148550949,-1.74515195330191,-0.419257255423689,0.0824603834315974,0.89769372252695,-24.7667183981893,5.17950828946164
0.119,-0.141598279360713,-0.0295391421869489,0.996854177721888,-8.05264856494218,-1.71647762067565,-0.41649898918827,0.0822232822009438,0.894138968860964,-24.6014725284065,5.1810343727656
0.132,-0.139340267374761,-0.0289194828165775,0.994100850095828,-7.91983378745492,-1.68068812230915,-0.413945063968015,0.081939546701171,0.891618800799683,-24.4436845578016,5.17478013975919
0.144,-0.137094850555571,-0.028240930068544,0.992261378811494,-7.78799092696637,-1.63521944075025,-0.411636228200511,0.081680989427433,0.890048277298449,-24.2966628690162,5.16572400978664
0.156,-0.134925826274269,-0.0274361940697077,0.991238696308266,-7.66125756789727,-1.57798051556189,-0.409616871647644,0.0815198166048708,0.889322695800735,-24.1641063942196,5.15898680748661
0.169,-0.132901722519992,-0.0264490038148718,0.99092265763669,-7.54394743442278,-1.50758420151277,-0.407929502665341,0.0815220597111313,0.889319790030207,-24.0496951918783,5.15939699028365
0.181,-0.131088327924023,-0.0252374840012702,0.991193894076064,-7.44009654122206,-1.42342537855955,-0.406609674823589,0.0817428544473642,0.88990351048409,-23.9567081177429,5.17115844869761
0.194,-0.129542054462956,-0.0237751469194686,0.991929394251788,-7.35307627405483,-1.32562960814373,-0.405682528081832,0.0822239417863459,0.890930967599837,-23.88774414316,5.19763956629234
0.207,-0.128305031049356,-0.0220506550499754,0.993009812835045,-7.28532143112083,-1.21494262477763,-0.405161190508598,0.082992799671196,0.892262353244312,-23.8445667901551,5.24125129249057
0.219,-0.127402236010888,-0.0200675364729574,0.994327376084333,-7.2381845442092,-1.09263504219071,-0.405046496862891,0.0840623552032675,0.89377199648953,-23.8280409779923,5.30336086742075
0.231,-0.126840503619318,-0.0178444491013432,0.995792859040703,-7.21190090359244,-0.960464265371631,-0.405327245397385,0.085430479845909,0.895358127873351,-23.8381150218141,5.38420467684252
