run_index,hand,glove_time_ms,time,palm_mcp_flex,palm_pip_flex,palm_prox_yaw,palm_prox_pitch,palm_prox_roll,palm_prox_ax,palm_prox_ay,palm_prox_az,thumb_mcp_flex,thumb_pip_flex,thumb_prox_yaw,thumb_prox_pitch,thumb_prox_roll,thumb_prox_ax,thumb_prox_ay,thumb_prox_az,index_mcp_flex,index_pip_flex,index_prox_yaw,index_prox_pitch,index_prox_roll,index_prox_ax,index_prox_ay,index_prox_az,middle_mcp_flex,middle_pip_flex,middle_prox_yaw,middle_prox_pitch,middle_prox_roll,middle_prox_ax,middle_prox_ay,middle_prox_az,ring_mcp_flex,ring_pip_flex,ring_prox_yaw,ring_prox_pitch,ring_prox_roll,ring_prox_ax,ring_prox_ay,ring_prox_az,pinky_mcp_flex,pinky_pip_flex,pinky_prox_yaw,pinky_prox_pitch,pinky_prox_roll,pinky_prox_ax,pinky_prox_ay,pinky_prox_az,wrist_ax,wrist_ay,wrist_az,wrist_heading,wrist_pitch,wrist_roll
1,LeftGlove,76337,0,-1,-1,0,0,0,0,0,0,2121,1811,0.01,0,0,-0.01,0.0,-0.01,1052,2080,0.02,0,0,0.01,-0.01,0.0,0,2041,-0.01,0.0,0,0.01,0.0,-0.01,2151,2277,-0.03,0,0,0.0,0.0,0.0,1819,2031,-0.01,0,0,0.0,-0.01,0.0,-0.57,3.48,9.09,0,-3.31,-20.63
1,LeftGlove,76878,515,-1,-1,0,0,0,0,0,0,2119,1804,0.0,0,0,0.0,0.0,0.0,1052,2076,0.0,0,0,0.0,0.0,0.0,0,2041,0.0,0.0,0,0.0,0.0,0.0,2151,2281,0.0,0,0,0.0,0.0,0.0,1828,2035,0.0,0,0,0.0,0.0,0.0,-0.54,3.46,9.1,0,-3.31,-20.63
1,LeftGlove,76914,570,-1,-1,0,0,0,0,0,0,2121,1807,0.01,0,0,0.0,0.0,0.0,1055,2079,0.02,0,0,0.0,0.0,0.0,0,2043,-0.01,0.0,0,0.0,0.0,0.0,2151,2279,-0.03,0,0,-0.01,0.0,0.0,1839,2027,-0.01,0,0,-0.01,0.01,-0.01,-0.52,3.42,9.12,0,-3.31,-20.63
1,LeftGlove,76968,630,-1,-1,0,0,0,0,0,0,2122,1814,0.01,0,0,0.0,0.0,0.0,1053,2077,0.02,0,0,0.0,0.0,-0.01,0,2040,-0.01,0.0,0,0.0,0.0,0.0,2151,2280,-0.03,0,0,0.0,0.0,0.0,1829,2028,-0.01,0,0,0.0,0.0,-0.01,-0.55,3.43,9.07,0,-3.31,-20.63
1,LeftGlove,77029,691,-1,-1,0,0,0,0,0,0,2124,1812,0.01,0,0,-0.01,0.0,-0.01,1055,2078,0.02,0,0,0.0,0.0,0.0,0,2040,-0.01,0.0,0,0.0,0.0,-0.01,2151,2279,-0.03,0,0,0.01,-0.01,0.0,1850,2027,-0.01,0,0,-0.01,-0.01,-0.01,-0.55,3.51,9.08,0,-3.31,-20.63
1,LeftGlove,77090,753,-1,-1,0,0,0,0,0,0,2121,1811,0.01,0,0,0.0,0.0,0.0,1055,2077,0.02,0,0,0.0,-0.01,0.0,0,2040,-0.01,0.0,0,0.0,0.0,-0.01,2151,2279,-0.03,0,0,0.0,0.0,0.0,1849,2027,-0.01,0,0,0.0,0.0,0.01,-0.57,3.47,9.11,0,-3.31,-20.63
1,LeftGlove,77152,815,-1,-1,0,0,0,0,0,0,2122,1807,0.01,0,0,0.0,0.0,-0.01,1059,2079,0.02,0,0,0.0,0.0,0.0,0,2040,-0.01,0.0,0,0.0,0.0,0.0,2150,2279,-0.03,0,0,0.0,0.0,0.01,1860,2030,-0.01,0,0,0.0,0.0,0.01,-0.54,3.39,9.13,0,-3.31,-20.63
1,LeftGlove,77214,879,-1,-1,0,0,0,0,0,0,2121,1811,0.01,0,0,0.0,0.0,-0.01,1058,2078,0.02,0,0,0.0,0.0,0.01,0,2042,-0.01,0.01,0,0.0,0.0,0.0,2151,2279,-0.03,0,0,0.01,0.0,0.0,7,2022,-0.01,0,0,0.01,0.01,-0.01,-0.56,3.46,9.08,0,-3.31,-20.63
1,LeftGlove,77278,942,-1,-1,0,0,0,0,0,0,2124,1807,0.01,0,0,0.0,0.0,-0.01,1055,2079,0.02,0,0,0.0,0.0,0.0,0,2041,-0.01,0.01,0,0.0,0.0,0.0,2151,2281,-0.03,0,0,0.0,-0.01,-0.01,1861,2036,-0.01,0,0,-0.01,-0.04,0.02,-0.58,3.55,9.06,0,-3.31,-20.63
1,LeftGlove,77341,1003,-1,-1,0,0,0,0,0,0,2124,1812,0.01,0,0,-0.01,0.0,0.0,1053,2085,0.02,0,0,0.0,0.0,-0.01,0,2041,-0.01,0.01,0,0.0,0.0,0.0,2149,2282,-0.03,0,0,0.0,0.0,0.01,1855,2035,-0.01,0,0,0.0,-0.01,0.01,-0.56,3.45,9.07,0,-3.31,-20.63
1,LeftGlove,77402,1065,-1,-1,0,0,0,0,0,0,2121,1807,0.01,0,0,0.0,0.0,0.0,1055,2079,0.02,0,0,0.0,0.0,0.0,0,2041,-0.01,0.01,0,0.0,0.0,-0.01,2151,2281,-0.03,0,0,0.0,0.0,-0.01,1843,2037,-0.01,0,0,0.0,0.0,0.01,-0.54,3.44,9.15,0,-3.31,-20.63
1,LeftGlove,77464,1129,-1,-1,0,0,0,0,0,0,2123,1812,0.01,0,0,0.0,0.0,-0.01,1053,2079,0.02,0,0,0.0,0.0,0.0,0,2039,-0.01,0.01,0,0.0,0.0,-0.01,2151,2283,-0.03,0,0,0.0,0.0,0.0,1835,2037,-0.01,0,0,0.0,-0.01,0.0,-0.57,3.48,9.1,0,-3.31,-20.63
1,LeftGlove,77528,1193,-1,-1,0,0,0,0,0,0,2125,1811,0.01,0,0,0.0,0.0,0.0,1053,2079,0.02,0,0,0.0,0.0,-0.01,0,2043,-0.01,0.01,0,0.01,-0.01,-0.01,2151,2281,-0.03,0,0,0.0,0.0,0.0,1827,2035,-0.01,0,0,0.0,0.0,0.0,-0.57,3.46,9.07,0,-3.31,-20.63
1,LeftGlove,77592,1258,-1,-1,0,0,0,0,0,0,2121,1806,0.01,0,0,0.0,0.01,0.0,1059,2083,0.02,0,0,0.01,0.01,0.0,0,2043,-0.01,0.01,0,0.0,0.0,0.0,2151,2280,-0.03,0,0,-0.01,0.0,-0.01,1831,2025,-0.01,0,0,0.0,0.01,0.0,-0.55,3.43,9.15,0,-3.31,-20.63
1,LeftGlove,77657,1322,-1,-1,0,0,0,0,0,0,2122,1810,0.01,0,0,0.0,0.0,0.0,1055,2078,0.02,0,0,0.0,0.0,0.0,0,2043,-0.01,0.01,0,-0.01,0.0,0.0,2151,2284,-0.03,0,0,0.0,0.0,0.0,1843,2029,-0.01,0,0,0.0,0.0,0.0,-0.54,3.44,9.11,0,-3.31,-20.63
1,LeftGlove,77721,1387,-1,-1,0,0,0,0,0,0,2119,1811,0.01,0,0,0.0,0.0,-0.01,1053,2076,0.02,0,0,0.0,0.0,-0.01,0,2040,-0.01,0.01,0,0.0,0.0,0.0,2150,2279,-0.03,0,0,0.0,0.0,0.0,1839,2039,-0.01,0,0,0.0,0.0,0.0,-0.56,3.47,9.06,0,-3.31,-20.63
1,LeftGlove,77786,1450,-1,-1,0,0,0,0,0,0,2123,1805,0.01,0,0,0.0,0.0,-0.01,1053,2077,0.02,0,0,0.0,0.0,0.0,0,2043,-0.01,0.01,0,-0.01,0.0,0.0,2152,2282,-0.03,0,0,0.0,0.0,0.0,1845,2035,-0.01,0,0,0.0,0.0,0.0,-0.57,3.44,9.11,0,-3.31,-20.63
1,LeftGlove,77849,1511,-1,-1,0,0,0,0,0,0,2120,1807,0.01,0,0,-0.01,0.0,0.0,1053,2077,0.02,0,0,0.0,0.0,0.0,0,2042,-0.01,0.01,0,0.0,0.0,0.0,2151,2280,-0.03,0,0,0.0,0.0,0.0,1838,2035,-0.01,0,0,0.0,0.0,0.0,-0.54,3.41,9.13,0,-3.31,-20.63
1,LeftGlove,77911,1578,-1,-1,0,0,0,0,0,0,2122,1806,0.01,0,0,0.01,0.0,0.01,1053,2079,0.02,0,0,0.0,0.01,0.0,0,2041,-0.01,0.01,0,-0.01,0.0,0.0,2152,2283,-0.03,0,0,-0.01,0.02,-0.02,1837,2030,-0.01,0,0,0.0,0.0,-0.01,-0.59,3.5,9.14,0,-3.31,-20.63
