run_timestamp,request_id,request_ts,glove_received
2026-04-15 21:02:46,1,2026-04-15T11:02:59.484Z,False
2026-04-15 21:02:46,2,2026-04-15T11:02:59.584Z,False
2026-04-15 21:02:46,3,2026-04-15T11:02:59.685Z,False
2026-04-15 21:02:46,4,2026-04-15T11:02:59.785Z,False
2026-04-15 21:02:46,5,2026-04-15T11:02:59.885Z,False
2026-04-15 21:02:46,6,2026-04-15T11:02:59.986Z,False
2026-04-15 21:02:46,7,2026-04-15T11:03:00.086Z,False
2026-04-15 21:02:46,8,2026-04-15T11:03:00.187Z,False
2026-04-15 21:02:46,9,2026-04-15T11:03:00.287Z,False
2026-04-15 21:02:46,10,2026-04-15T11:03:00.388Z,False
2026-04-15 21:02:46,11,2026-04-15T11:03:00.488Z,False
2026-04-15 21:02:46,12,2026-04-15T11:03:00.589Z,False
2026-04-15 21:02:46,13,2026-04-15T11:03:00.690Z,False
2026-04-15 21:02:46,14,2026-04-15T11:03:00.790Z,False
2026-04-15 21:02:46,15,2026-04-15T11:03:00.890Z,False
2026-04-15 21:02:46,16,2026-04-15T11:03:00.991Z,False
2026-04-15 21:02:46,17,2026-04-15T11:03:01.092Z,False
2026-04-15 21:02:46,18,2026-04-15T11:03:01.192Z,False
2026-04-15 21:02:46,19,2026-04-15T11:03:01.292Z,False
2026-04-15 21:02:46,20,2026-04-15T11:03:01.393Z,False
2026-04-15 21:02:46,21,2026-04-15T11:03:01.493Z,False
2026-04-15 21:02:46,22,2026-04-15T11:03:01.594Z,False
2026-04-15 21:02:46,23,2026-04-15T11:03:01.694Z,False
2026-04-15 21:02:46,24,2026-04-15T11:03:01.795Z,False
2026-04-15 21:02:46,25,2026-04-15T11:03:01.895Z,False
2026-04-15 21:02:46,26,2026-04-15T11:03:01.996Z,False
2026-04-15 21:02:46,27,2026-04-15T11:03:02.096Z,False
2026-04-15 21:02:46,28,2026-04-15T11:03:02.197Z,False
2026-04-15 21:02:46,29,2026-04-15T11:03:02.297Z,False
2026-04-15 21:02:46,30,2026-04-15T11:03:02.398Z,False
2026-04-15 21:02:46,31,2026-04-15T11:03:02.498Z,False
