run_index,request_id,request_ts,left_hand,left_glove_time_ms,left_time,left_palm_mcp_flex,left_palm_pip_flex,left_palm_mid_yaw,left_palm_mid_pitch,left_palm_mid_roll,left_palm_mid_ax,left_palm_mid_ay,left_palm_mid_az,left_palm_prox_yaw,left_palm_prox_pitch,left_palm_prox_roll,left_palm_prox_ax,left_palm_prox_ay,left_palm_prox_az,left_thumb_mcp_flex,left_thumb_pip_flex,left_thumb_mid_yaw,left_thumb_mid_pitch,left_thumb_mid_roll,left_thumb_mid_ax,left_thumb_mid_ay,left_thumb_mid_az,left_thumb_prox_yaw,left_thumb_prox_pitch,left_thumb_prox_roll,left_thumb_prox_ax,left_thumb_prox_ay,left_thumb_prox_az,left_index_mcp_flex,left_index_pip_flex,left_index_mid_yaw,left_index_mid_pitch,left_index_mid_roll,left_index_mid_ax,left_index_mid_ay,left_index_mid_az,left_index_prox_yaw,left_index_prox_pitch,left_index_prox_roll,left_index_prox_ax,left_index_prox_ay,left_index_prox_az,left_middle_mcp_flex,left_middle_pip_flex,left_middle_mid_yaw,left_middle_mid_pitch,left_middle_mid_roll,left_middle_mid_ax,left_middle_mid_ay,left_middle_mid_az,left_middle_prox_yaw,left_middle_prox_pitch,left_middle_prox_roll,left_middle_prox_ax,left_middle_prox_ay,left_middle_prox_az,left_ring_mcp_flex,left_ring_pip_flex,left_ring_mid_yaw,left_ring_mid_pitch,left_ring_mid_roll,left_ring_mid_ax,left_ring_mid_ay,left_ring_mid_az,left_ring_prox_yaw,left_ring_prox_pitch,left_ring_prox_roll,left_ring_prox_ax,left_ring_prox_ay,left_ring_prox_az,left_pinky_mcp_flex,left_pinky_pip_flex,left_pinky_mid_yaw,left_pinky_mid_pitch,left_pinky_mid_roll,left_pinky_mid_ax,left_pinky_mid_ay,left_pinky_mid_az,left_pinky_prox_yaw,left_pinky_prox_pitch,left_pinky_prox_roll,left_pinky_prox_ax,left_pinky_prox_ay,left_pinky_prox_az,left_wrist_ax,left_wrist_ay,left_wrist_az,left_wrist_heading,left_wrist_pitch,left_wrist_roll,right_hand,right_glove_time_ms,right_time,right_palm_mcp_flex,right_palm_pip_flex,right_palm_mid_yaw,right_palm_mid_pitch,right_palm_mid_roll,right_palm_mid_ax,right_palm_mid_ay,right_palm_mid_az,right_palm_prox_yaw,right_palm_prox_pitch,right_palm_prox_roll,right_palm_prox_ax,right_palm_prox_ay,right_palm_prox_az,right_thumb_mcp_flex,right_thumb_pip_flex,right_thumb_mid_yaw,right_thumb_mid_pitch,right_thumb_mid_roll,right_thumb_mid_ax,right_thumb_mid_ay,right_thumb_mid_az,right_thumb_prox_yaw,right_thumb_prox_pitch,right_thumb_prox_roll,right_thumb_prox_ax,right_thumb_prox_ay,right_thumb_prox_az,right_index_mcp_flex,right_index_pip_flex,right_index_mid_yaw,right_index_mid_pitch,right_index_mid_roll,right_index_mid_ax,right_index_mid_ay,right_index_mid_az,right_index_prox_yaw,right_index_prox_pitch,right_index_prox_roll,right_index_prox_ax,right_index_prox_ay,right_index_prox_az,right_middle_mcp_flex,right_middle_pip_flex,right_middle_mid_yaw,right_middle_mid_pitch,right_middle_mid_roll,right_middle_mid_ax,right_middle_mid_ay,right_middle_mid_az,right_middle_prox_yaw,right_middle_prox_pitch,right_middle_prox_roll,right_middle_prox_ax,right_middle_prox_ay,right_middle_prox_az,right_ring_mcp_flex,right_ring_pip_flex,right_ring_mid_yaw,right_ring_mid_pitch,right_ring_mid_roll,right_ring_mid_ax,right_ring_mid_ay,right_ring_mid_az,right_ring_prox_yaw,right_ring_prox_pitch,right_ring_prox_roll,right_ring_prox_ax,right_ring_prox_ay,right_ring_prox_az,right_pinky_mcp_flex,right_pinky_pip_flex,right_pinky_mid_yaw,right_pinky_mid_pitch,right_pinky_mid_roll,right_pinky_mid_ax,right_pinky_mid_ay,right_pinky_mid_az,right_pinky_prox_yaw,right_pinky_prox_pitch,right_pinky_prox_roll,right_pinky_prox_ax,right_pinky_prox_ay,right_pinky_prox_az,right_wrist_ax,right_wrist_ay,right_wrist_az,right_wrist_heading,right_wrist_pitch,right_wrist_roll
11,1,2026-04-18T12:46:45.715,LeftGlove,201418,0,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2059,1671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1045,2076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2132,2284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9,4.48,8.7,65.13,-5.19,-25.81,RightGlove,44982,0,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2085,2133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1747,1691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1639,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3159,3381,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2193,2073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,3.95,8.72,0.06,14.38,-23.06
11,2,2026-04-18T12:46:45.896,LeftGlove,201616,210,-1,-1,0,0,0,0,0,0,1.64,-0.01,-0.11,0.01,-0.02,0.07,2059,1727,-0.48,-0.01,-0.12,0.03,0.01,-0.06,-1.0,-0.01,-0.14,0.02,0.01,0.03,1046,2077,1.53,0.0,-0.27,0.01,-0.02,-0.03,0.97,0.01,-0.27,0.01,0.01,0.03,0,2040,1.91,-0.08,-0.17,0.0,-0.02,0.07,1.78,-0.07,-0.13,0.03,-0.02,0.11,2132,2285,1.88,-0.12,-0.2,0.01,-0.03,0.14,1.78,-0.18,-0.04,0.04,-0.02,0.27,2003,2013,1.99,-0.17,-0.19,0.01,-0.04,0.19,1.81,-0.15,-0.07,0.02,-0.02,0.2,-0.86,4.35,8.86,65.13,-5.25,-25.75,RightGlove,45181,208,-1,-1,0,0,0,0,0,0,-0.02,0.0,0.0,0.01,0.01,0.05,2089,2131,-0.02,-0.04,0.0,-0.01,0.0,-0.01,-0.03,-0.04,0.0,0.01,0.01,0.01,1747,1695,0.03,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.06,0.02,0.04,1639,2046,0.02,0.0,0.0,0.03,-0.03,0.08,0.03,0.0,0.0,0.03,0.01,0.0,3159,3382,0.01,0.0,0.0,0.0,-0.02,0.08,0,0,0,0,0,0,2190,2073,-0.02,0.0,0.0,-0.01,-0.01,0.05,0.02,0.0,0.0,-0.01,0.0,0.02,2.43,3.74,8.7,0.06,14.25,-22.94
11,3,2026-04-18T12:46:46.405,LeftGlove,202115,696,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2059,1747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1049,2078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2133,2285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.85,4.27,8.83,65.13,-5.19,-25.75,RightGlove,45680,697,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2087,2131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1722,1693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1638,2046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3161,3387,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2195,2073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,3.72,8.7,0.0,14.06,-22.94
11,4,2026-04-18T12:46:46.605,LeftGlove,202323,917,-1,-1,0,0,0,0,0,0,1.64,-0.01,-0.11,0.0,0.0,0.07,2036,1740,-0.47,-0.02,-0.13,0.01,0.0,-0.05,-1.0,-0.01,-0.14,-0.01,0.0,0.07,1049,2077,1.53,0.01,-0.27,0.0,0.0,-0.07,0.98,0.01,-0.28,0.0,0.0,0.0,0,2045,1.92,-0.08,-0.17,0.0,0.0,0.01,1.79,-0.07,-0.13,0.0,0.0,0.09,2132,2285,1.88,-0.12,-0.2,0.0,-0.01,0.06,1.78,-0.18,-0.04,-0.01,0.0,0.23,2004,2014,1.99,-0.17,-0.19,0.0,0.0,0.12,1.81,-0.15,-0.07,0.0,0.0,0.17,-0.86,4.33,8.92,65.13,-5.25,-25.75,RightGlove,45888,916,-1,-1,0,0,0,0,0,0,-0.02,0.0,0.0,0.0,0.0,0.0,2087,2132,-0.02,-0.04,0.0,0.0,0.0,-0.03,-0.03,-0.04,-0.01,0.03,0.01,-0.03,1750,1657,0.03,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,-0.01,1644,2045,0.02,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,3161,3383,0.01,0.0,0.0,0.01,0.01,0.0,0,0,0,0,0,0,2196,2069,-0.02,0.0,0.0,0.0,0.0,-0.01,0.01,0.0,0.0,0.0,0.0,0.0,2.45,3.75,8.76,0.0,14.13,-22.94
11,5,2026-04-18T12:46:47.224,LeftGlove,202953,1537,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2065,1737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1045,2079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2134,2287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.84,4.34,8.87,65.13,-5.25,-25.75,RightGlove,46516,1535,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2084,2131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1747,1694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1638,2053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3160,3385,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2195,2073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,3.73,8.73,0.0,14.13,-22.94
11,6,2026-04-18T12:46:47.631,LeftGlove,203344,1927,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2063,1735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1047,2078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2135,2287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.83,4.3,8.85,65.13,-5.25,-25.75,RightGlove,46911,1932,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2088,2131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1749,1693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1639,2044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3160,3383,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2196,2075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41,3.74,8.71,0.0,14.13,-22.94
11,7,2026-04-18T12:46:48.048,LeftGlove,203762,2344,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2065,1733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1041,2079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2133,2287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.82,4.32,8.9,65.13,-5.25,-25.75,RightGlove,47321,2342,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2088,2129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1743,1689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1640,2044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3161,3385,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2196,2071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,3.73,8.7,0.0,14.13,-22.94
11,8,2026-04-18T12:46:48.460,LeftGlove,204281,2865,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2065,1743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1047,2079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2135,2291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.83,4.31,8.86,65.13,-5.25,-25.75,RightGlove,47844,2863,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2089,2133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1748,1692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1639,2046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3161,3385,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2195,2076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41,3.73,8.71,0.0,14.13,-22.94
11,9,2026-04-18T12:46:48.946,LeftGlove,204593,3185,-1,-1,0,0,0,0,0,0,1.64,-0.01,-0.11,0.0,0.0,0.06,2063,1740,-0.48,-0.01,-0.12,0.0,0.0,-0.05,-1.0,-0.01,-0.14,0.0,0.0,0.06,1046,2080,1.53,0.01,-0.27,0.0,0.0,-0.07,0.98,0.01,-0.28,0.0,0.0,0.01,0,2043,1.92,-0.08,-0.17,0.0,0.0,0.02,1.79,-0.07,-0.13,0.0,-0.01,0.1,2135,2287,1.88,-0.12,-0.2,0.0,0.0,0.06,1.78,-0.18,-0.04,0.0,0.0,0.24,2005,2015,1.99,-0.17,-0.19,0.0,0.0,0.12,1.81,-0.15,-0.07,0.0,0.0,0.2,-0.85,4.33,8.87,65.13,-5.25,-25.75,RightGlove,48157,3184,-1,-1,0,0,0,0,0,0,1.59,0.03,0.0,1.05,0.92,-0.29,2087,2132,-0.02,-0.04,0.0,0.0,0.0,-0.03,-0.03,-0.04,-0.01,0.02,0.01,-0.03,1747,1691,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,1640,2045,0.02,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.01,0.01,3160,3383,0.01,0.0,0.0,0.01,0.01,0.0,0,0,0,0,0,0,2195,2072,-0.03,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,2.41,3.73,8.73,0.0,14.13,-22.94
11,10,2026-04-18T12:46:49.243,LeftGlove,204885,3476,-1,-1,0,0,0,0,0,0,1.64,-0.01,-0.11,0.0,0.0,0.06,2063,1739,-0.48,-0.01,-0.12,-0.01,0.0,-0.05,-1.0,-0.01,-0.14,0.0,0.0,0.06,1046,2077,1.53,0.01,-0.27,0.0,0.0,-0.07,0.98,0.01,-0.28,0.0,0.0,0.01,0,2042,1.92,-0.08,-0.17,0.0,0.0,0.03,1.78,-0.07,-0.13,0.0,0.01,0.09,2133,2287,1.88,-0.12,-0.2,0.0,0.0,0.06,1.78,-0.18,-0.04,0.0,0.0,0.24,2007,2019,1.99,-0.17,-0.19,0.0,0.0,0.13,1.81,-0.15,-0.07,0.0,0.0,0.18,-0.84,4.33,8.83,65.13,-5.25,-25.75,RightGlove,48451,3481,-1,-1,0,0,0,0,0,0,-0.02,0.0,0.0,0.0,0.0,-0.01,2087,2131,-0.02,-0.04,0.0,0.0,0.0,-0.03,-0.03,-0.04,-0.01,-0.01,0.0,-0.03,1743,1691,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1641,2045,0.02,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.01,3162,3383,0.01,0.0,0.0,0.0,0.0,0.01,0,0,0,0,0,0,2196,2073,-0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,2.41,3.75,8.7,0.0,14.13,-22.94
