run_index,hand,glove_time_ms,time,palm_mcp_flex,palm_pip_flex,palm_mid_yaw,palm_mid_pitch,palm_mid_roll,palm_mid_ax,palm_mid_ay,palm_mid_az,palm_prox_yaw,palm_prox_pitch,palm_prox_roll,palm_prox_ax,palm_prox_ay,palm_prox_az,thumb_mcp_flex,thumb_pip_flex,thumb_mid_yaw,thumb_mid_pitch,thumb_mid_roll,thumb_mid_ax,thumb_mid_ay,thumb_mid_az,thumb_prox_yaw,thumb_prox_pitch,thumb_prox_roll,thumb_prox_ax,thumb_prox_ay,thumb_prox_az,index_mcp_flex,index_pip_flex,index_mid_yaw,index_mid_pitch,index_mid_roll,index_mid_ax,index_mid_ay,index_mid_az,index_prox_yaw,index_prox_pitch,index_prox_roll,index_prox_ax,index_prox_ay,index_prox_az,middle_mcp_flex,middle_pip_flex,middle_mid_yaw,middle_mid_pitch,middle_mid_roll,middle_mid_ax,middle_mid_ay,middle_mid_az,middle_prox_yaw,middle_prox_pitch,middle_prox_roll,middle_prox_ax,middle_prox_ay,middle_prox_az,ring_mcp_flex,ring_pip_flex,ring_mid_yaw,ring_mid_pitch,ring_mid_roll,ring_mid_ax,ring_mid_ay,ring_mid_az,ring_prox_yaw,ring_prox_pitch,ring_prox_roll,ring_prox_ax,ring_prox_ay,ring_prox_az,pinky_mcp_flex,pinky_pip_flex,pinky_mid_yaw,pinky_mid_pitch,pinky_mid_roll,pinky_mid_ax,pinky_mid_ay,pinky_mid_az,pinky_prox_yaw,pinky_prox_pitch,pinky_prox_roll,pinky_prox_ax,pinky_prox_ay,pinky_prox_az,wrist_ax,wrist_ay,wrist_az,wrist_heading,wrist_pitch,wrist_roll
7,LeftGlove,1782540,0,-1,-1,-1.11,0.42,0.09,0.01,-0.02,0.78,0,0,0,0,0,0,2121,1916,-1.54,0.57,0.27,0.0,-0.05,1.43,1.11,1.03,0.11,0.07,0.03,1.02,1055,2094,2.9,0.1,-0.25,0.03,0.01,0.66,1.02,0.37,0.16,0.01,-0.05,-0.33,0,2063,-0.57,-0.01,-0.06,-0.06,-0.05,-0.03,0,0,0,0,0,0,2141,2294,0,0,0,0,0,0,1.55,0.85,0.04,-0.15,0.0,0.95,1992,2041,1.52,0.85,0.58,-0.03,-0.05,0.84,1.04,0.63,-0.16,-0.04,-0.05,1.52,-0.71,3.49,8.72,198.56,-2.63,-20.0
7,LeftGlove,1782876,337,-1,-1,-1.11,0.42,0.08,0.03,0.01,0.8,0,0,0,0,0,0,2123,1913,-1.54,0.57,0.27,0.01,-0.01,1.45,1.09,1.01,0.1,-0.06,-0.13,1.33,1053,2095,2.9,0.1,-0.25,-0.03,0.0,0.64,1.02,0.36,0.16,0.06,0.0,-0.24,0,2062,-0.56,-0.01,-0.06,0.02,-0.01,-0.05,0,0,0,0,0,0,2141,2291,0,0,0,0,0,0,1.54,0.84,0.03,0.05,0.0,0.77,1991,2037,1.53,0.85,0.59,0.05,0.0,0.88,1.04,0.62,-0.16,0.01,0.05,1.46,-0.36,3.44,9.11,198.56,-2.63,-19.94
7,LeftGlove,1782917,375,-1,-1,2.99,0.0,0.0,0.46,0.33,-0.51,0,0,0,0,0,0,2123,1915,-1.54,0.57,0.27,0.0,0.0,1.46,1.09,1.01,0.1,-0.05,-0.05,1.36,1055,2095,2.9,0.1,-0.25,-0.03,0.0,0.67,1.02,0.36,0.17,0.03,0.02,-0.24,0,2063,-0.56,-0.01,-0.06,0.04,0.01,-0.02,0,0,0,0,0,0,2141,2293,0,0,0,0,0,0,1.55,0.84,0.04,0.05,-0.02,0.91,1989,2039,1.53,0.85,0.59,0.01,0.01,0.9,1.04,0.62,-0.16,0.02,0.01,1.49,-0.42,3.41,9.06,198.56,-2.63,-19.94
7,LeftGlove,1783081,539,-1,-1,-1.11,0.42,0.09,0.01,0.0,0.76,0,0,0,0,0,0,2123,1915,-1.54,0.57,0.27,0.03,-0.02,1.44,1.11,1.02,0.11,-0.05,-0.06,1.24,1056,2100,2.91,0.1,-0.25,0.02,0.0,0.66,1.02,0.36,0.16,-0.04,0.02,-0.32,0,2065,-0.56,-0.01,-0.06,-0.05,-0.04,-0.02,0,0,0,0,0,0,2140,2293,0,0,0,0,0,0,1.55,0.84,0.04,-0.09,0.01,0.84,1991,2040,1.53,0.85,0.59,-0.01,0.01,0.89,1.04,0.62,-0.16,-0.12,0.06,1.42,-0.44,3.34,9.51,198.56,-2.56,-19.88
7,LeftGlove,1783120,579,-1,-1,-1.11,0.42,0.09,0.0,0.0,0.82,0,0,0,0,0,0,2122,1915,-1.54,0.57,0.27,-0.03,0.02,1.48,1.1,1.02,0.1,0.11,0.07,1.18,1055,2099,2.9,0.1,-0.25,-0.06,0.0,0.69,1.02,0.36,0.17,0.03,-0.03,-0.24,0,2065,-0.56,-0.01,-0.06,0.06,0.03,0.0,0,0,0,0,0,0,2141,2292,0,0,0,0,0,0,1.55,0.84,0.04,0.06,-0.05,0.91,1992,2039,1.53,0.84,0.59,0.01,-0.01,0.87,1.04,0.62,-0.16,0.06,-0.07,1.56,-0.41,3.55,8.7,198.56,-2.63,-19.88
7,LeftGlove,1783159,619,-1,-1,-1.11,0.42,0.09,0.01,-0.02,0.8,0,0,0,0,0,0,2117,1917,-1.54,0.57,0.27,-0.01,-0.02,1.45,1.09,1.01,0.11,-0.12,-0.1,1.37,1055,2095,2.9,0.1,-0.25,-0.02,0.04,0.69,1.02,0.36,0.16,-0.02,-0.03,-0.26,0,2067,-0.56,-0.01,-0.06,0.02,-0.03,0.0,0,0,0,0,0,0,2141,2291,0,0,0,0,0,0,1.54,0.84,0.04,-0.01,-0.04,0.84,1991,2039,1.52,0.84,0.59,-0.01,-0.02,0.88,1.04,0.62,-0.16,-0.02,0.0,1.49,-0.61,3.51,9.35,198.56,-2.56,-19.94
7,LeftGlove,1783199,659,-1,-1,-1.11,0.42,0.09,0.01,0.0,0.8,0,0,0,0,0,0,2125,1916,-1.54,0.57,0.27,0.0,-0.01,1.46,1.11,1.02,0.1,0.12,0.1,1.14,1060,2101,2.91,0.1,-0.25,-0.01,0.01,0.67,1.02,0.37,0.16,0.0,0.0,-0.27,0,2065,-0.56,-0.01,-0.06,0.01,0.0,-0.01,0,0,0,0,0,0,2141,2293,0,0,0,0,0,0,1.55,0.84,0.04,0.0,-0.01,0.9,1989,2041,1.53,0.85,0.59,-0.01,-0.02,0.84,1.04,0.62,-0.16,0.01,-0.03,1.52,-0.49,3.35,9.05,198.56,-2.63,-19.94
7,LeftGlove,1783239,699,-1,-1,-1.11,0.42,0.09,0.0,0.0,0.8,0,0,0,0,0,0,2123,1917,-1.54,0.57,0.27,-0.01,0.01,1.47,1.09,1.01,0.1,-0.11,-0.08,1.37,1056,2095,2.9,0.1,-0.25,-0.03,-0.01,0.67,1.02,0.36,0.17,0.02,-0.02,-0.24,0,2065,-0.56,-0.01,-0.06,0.04,0.02,0.0,0,0,0,0,0,0,2140,2293,0,0,0,0,0,0,1.55,0.84,0.04,0.07,-0.03,0.86,1993,2039,1.53,0.85,0.59,0.02,0.01,0.87,1.04,0.62,-0.16,0.06,-0.02,1.52,-0.38,3.39,8.8,198.56,-2.63,-19.88
7,LeftGlove,1783279,739,-1,-1,-1.11,0.42,0.09,0.0,-0.01,0.78,0,0,0,0,0,0,2123,1917,-1.54,0.57,0.27,-0.01,-0.02,1.45,1.11,1.02,0.11,0.05,-0.01,1.23,1054,2096,2.91,0.1,-0.25,0.02,0.01,0.67,1.02,0.36,0.16,-0.03,-0.01,-0.27,0,2063,-0.56,-0.01,-0.06,-0.02,-0.03,0.0,0,0,0,0,0,0,2141,2295,0,0,0,0,0,0,1.55,0.84,0.04,-0.03,-0.01,0.83,1983,2037,1.53,0.85,0.59,-0.02,-0.01,0.86,1.04,0.62,-0.16,-0.07,0.04,1.45,-0.52,3.47,9.26,198.56,-2.56,-19.88
7,LeftGlove,1783319,779,-1,-1,-1.11,0.42,0.09,0.0,0.0,0.79,0,0,0,0,0,0,2123,1917,-1.54,0.57,0.27,-0.01,0.0,1.46,1.1,1.02,0.1,0.09,0.08,1.09,1056,2095,2.91,0.1,-0.25,-0.01,0.0,0.68,1.02,0.37,0.16,0.01,0.0,-0.25,0,2065,-0.56,-0.01,-0.06,0.01,0.01,-0.01,0,0,0,0,0,0,2141,2293,0,0,0,0,0,0,1.55,0.84,0.04,0.01,0.0,0.9,1992,2041,1.53,0.85,0.59,0.0,0.01,0.86,1.04,0.62,-0.16,0.01,-0.04,1.53,-0.32,3.01,8.82,198.56,-2.56,-19.88
